,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Materjal,Ehitusaasta,Lisaruumid,Küte,Sanitaar,Pliit,Side,Vannitube,Hind / m²,Katastritunnus,Energiamärgis,Parkimine,Katus,Ventilatsioon,Köögi pind,Rõdu,Rõdu pind,Kinnistu number,tasuline parkimine,tasuta parkimine,Lift,Lisanduvad kommunaalkulud,Parkimiskohti,Krunt,Lisainfo,Saadaval,Piirangud,maakond
22,2015648,"Lauri,Kihlepa küla, Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,3,,40.6 m²,1,2,korteriomand,turvauks,"mööbel,TV,külmik",39000.0,,,,"123 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,,panipaik,"ahjuküte,kamin,õhksoojuspump","dušš,boiler,pesumasin",,,,960.59 €/m²,15905:002:0230,,,,,,,,,,jah,,Added_to_price,1,,,,,parnu
23,1966532,"Mai tn 105, Mai,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,2,,51.4 m²,7,10,korteriomand,"turvauks,trepikoda lukus","mööbel,mööbli võimalus",175000.0,,,,"550 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,2019,panipaik,keskküte,dušš,,internet,,3 404.67 €/m²,62513:178:0038,,,,,,rõdu,4.40,0,,,jah,,,,,,,parnu
24,2295395,"Pikk tn 16, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,valmis,2,,47.2 m²,3,4,korteriomand,"turvauks,videokaamerad,trepikoda lukus","mööbel,külmik",199999.0,,,,"628 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,2020,panipaik,"põrandaküte,keskküte",dušš,,"kaabel-TV,internet",,4 237.27 €/m²,62510:127:0002,B,,,,,rõdu,10.00,0,,,jah,,,,,,,parnu
25,5858816,"Papiniidu tn 33, Mai,Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,2,,46.5 m²,5,5,korteriomand,trepikoda lukus,"mööbel,külmik",90000.0,,,,"283 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1979,,"põrandaküte,keskküte",vann,,"internet,kaabel-TV",,1 935.48 €/m²,62513:174:7810,,,,,,rõdu,3.40,0,,,,,,,,,,parnu
26,2972241,"Oja tn 34, Rääma,Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,2,1,38.8 m²,1,4,korteriomand,"turvauks,trepikoda lukus","mööbel,mööbli võimalus",87000.0,,,,"273 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1960,,"keskküte,põrandaküte","boiler,tsentraalne kanalisatsioon",elektripliit,"internet,digi-TV",1,2 242.27 €/m²,,energiamärgis määramata,tasuta parkimine,,sundventilatsioon,,,,,,,,,,,,,,parnu
27,1648627,"NIIDU 1C-15,Pärnu linn, Pärnu maakond",2022-10-23,valmimisjärgus,2,1,47.2 m²,4,5,korteriomand,,,128000.0,,,,"402 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,2023,,keskküte,dušš,,,1,2 711.86 €/m²,62517:064:0062,A,,,,,rõdu,,,,,jah,,,,,,,parnu
28,8606453,"NIIDU 1C-7,Pärnu linn, Pärnu maakond",2022-10-23,valmimisjärgus,4,3,76 m²,2,5,korteriomand,,,175000.0,,,,"550 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,2023,,keskküte,dušš,,,1,2 302.63 €/m²,62517:064:0062,A,,,,,rõdu,,,,,jah,,,,,,,parnu
29,8765069,"NIIDU 1C-11,Pärnu linn, Pärnu maakond",2022-10-23,valmimisjärgus,3,2,67 m²,3,5,korteriomand,,,170000.0,,,,"534 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,2023,,keskküte,dušš,,,1,2 537.31 €/m²,62517:064:0062,A,,,,,rõdu,,,,,jah,,,,,,,parnu
30,2848195,"Kaevu tn 27, Rääma,Pärnu linn, Pärnu maakond",2022-10-23,vajab renoveerimist,2,1,39.6 m²,4,4,korteriomand,"turvauks,trepikoda lukus","mööbel,külmik",65000.0,,,,"204 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1963,,keskküte,"dušš,boiler,pesumasin",elektripliit,internet,,1 641.41 €/m²,62507:012:7030,energiamärgis määramata,,,,,,,,,,,,,,,,,parnu
31,7333807,"Mai tn 34, Mai,Pärnu linn, Pärnu maakond",2022-10-23,valmis,3,,65.1 m²,4,5,korteriomand,trepikoda lukus,mööbli võimalus,119000.0,,,,"374 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1985,,keskküte,"wc ja vannituba eraldi,vann,dušš",,kaabel-TV,,1 827.96 €/m²,62513:175:0430,D,,,,,rõdu,,0,,,,,,,,,,parnu
32,7187924,"Suur-Jõekalda tn 2/1-57, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,3,2,67.2 m²,7,7,korteriomand,naabrivalve,külmik,179000.0,,,,"562 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,2007,panipaik,keskküte,saun,,,,2 663.69 €/m²,62502:001:0170,energiamärgis määramata,,,,,rõdu,2.30,0,,jah,jah,,,,,,,parnu
33,4319286,"Kirsi tn 34, Rääma,Pärnu linn, Pärnu maakond",2022-10-23,valmis,2,2,38.2 m²,4,5,korteriomand,trepikoda lukus,"mööbel,mööbli võimalus",77500.0,,,,"243 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1972,,keskküte,dušš,,"kaabel-TV,internet",,2 028.80 €/m²,62507:011:8120,,,,,,,,0,,jah,,,,,,,,parnu
34,4340469,"Tööstuse tn 7,Sindi linn, Pärnu maakond",2022-10-23,,2,,40.8 m²,2,2,korteriomand,trepikoda lukus,,35000.0,,,,"110 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",palkmaja,1926,,,"dušš,boiler",,,,857.84 €/m²,74101:001:0262,,,,,,,,0,,,,,,,,,,parnu
