,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Lisaruumid,Küte,Sanitaar,Pliit,Seisukord,Lisaväärtused,Suve kommunaalid,Talve kommunaalid,Side,Kinnistu number,Krunt,tasuta parkimine,Ventilatsioon,Katus,Lisainfo,Lisanduvad kommunaalid,Lisanduvad kommunaalkulud,Tagatisraha,Maakleritasu,Parkimiskohti,tasuline parkimine,Piirangud,maakond
664,"Narva mnt.2 31, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,65.1,,13.00,5,,korteriomand,"trepikoda lukus,turvauks",228999.0,,kivimaja,,jah,,panipaik,keskküte,pesumasin,elektripliit,san remont tehtud,kinnine hoov,114.00,206.00,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
665,"Loitsu tn 6, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,1,1,1,32.6,kinnine rõdu,,2,5,korteriomand,trepikoda lukus,84900.0,D,paneelmaja,1981,,parkla,panipaik,keskküte,"vann,tsentraalne kanalisatsioon",elektripliit,vajab renoveerimist,mööbli võimalus,,,"internet,digi-TV",,,,,,,,,,,,,,harju
666,"Päevalille tn 4, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,38.5,,,14,15,korteriomand,"videokaamerad,trepikoda lukus,turvauks",199000.0,B,,2022,jah,,panipaik,"põrandaküte,keskküte",dušš,,uusehitis,"mööbli võimalus,külmik",,,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
667,"Päevalille tn 4, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,,,38.5,,,8,15,korteriomand,"videokaamerad,trepikoda lukus,turvauks",190000.0,B,,2022,jah,,panipaik,"põrandaküte,keskküte",dušš,,uusehitis,"mööbel,mööbli võimalus,külmik",,,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
668,"Nõlvaku tn 9, Laagri alevik, Saue vald, Harju maakond","Laagri alevik, Saue vald, Harju maakond",2022-10-30,2,1,,55.0,,,1,2,korteriomand,"trepikoda lukus,naabrivalve,turvauks",125000.0,D,"plokkmaja,kivimaja",1973,,kindel parkimiskoht kinnistul,kelder,gaasiküte,"boiler,dušš,tsentraalne kanalisatsioon",elektripliit,renoveeritud,mööbli võimalus,,,internet,,,,,bituumen,,,,,,,,hüpoteek,harju
669,"Nelgi tn 31, Nõmme linnaosa, Tallinn, Harju maakond","Nõmme linnaosa, Tallinn, Harju maakond",2022-10-30,3,3,1,65.0,"kinnine rõdu,klaasitud rõdu",,5,9,korteriomand,"naabrivalve,turvauks",142500.0,,paneelmaja,1979,jah,parkla,,keskküte,"vann,wc ja vannituba eraldi,pesumasin,tsentraalne kanalisatsioon",elektripliit,renoveeritud,"mööbel,mööbli võimalus",,,internet,,,,sundventilatsioon,bituumen,,,,,,,,,harju
670,"Kivimurru tn 12, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,41.3,,,1,1,korteriomand,"trepikoda lukus,naabrivalve",94000.0,energiamärgis määramata,puitmaja,1946,,kindel parkimiskoht kinnistul,"kelder,panipaik","elektriküte,kamin,põrandaküte","boiler,dušš,pesumasin",elektripliit,valmis,"kinnine hoov,mööbel",,,internet,,,,sundventilatsioon,eterniit,,,,,,,,,harju
671,"Kadaka pst 169a, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,51.0,,8.40,4,7,korteriomand,"trepikoda lukus,turvauks",170000.0,,kivimaja,2004,jah,,panipaik,keskküte,"saun,dušš,pesumasin",elektripliit,uus viimistlus,"mööbel,külmik",157.00,219.00,,,,,,,,,,0.00,,,,,harju
672,"Erika tn 15, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,2,65.6,,,,4,korteriomand,"trepikoda lukus,turvauks",230000.0,B,betoonmaja,2016,,,,keskküte,"wc ja vannituba eraldi,dušš,pesumasin",elektripliit,valmis,"kinnine hoov,mööbli võimalus",,,"internet,digi-TV,telefon",,,,sundventilatsioon,plekk,,,,,,,,,harju
673,"Maleva tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,1,56.4,,,4,,korteriomand,trepikoda lukus,133000.0,E,,2000,,kindel parkimiskoht kinnistul,panipaik,keskküte,dušš,,,,,,,,,,,,,,,,,,,,harju
674,"Rohu tn 18, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,1,1,1,22.0,,,2,2,korteriomand,trepikoda lukus,70000.0,energiamärgis määramata,palkmaja,1911,,muu,panipaik,"kombineeritud küte,kamin,elektriküte","boiler,dušš,tsentraalne kanalisatsioon",,renoveeritud,,,,internet,,,,,eterniit,,,,,,,,,harju
675,"Liukivi põik 6, Kostivere alevik, Jõelähtme vald, Harju maakond","Kostivere alevik, Jõelähtme vald, Harju maakond",2022-10-30,2,1,,54.0,,2.00,4,5,,"naabrivalve,trepikoda lukus,turvauks",130000.0,,,,,,kinnine rõdu,keskküte,"vann,boiler",,vajab renoveerimist,mööbel,,,"kaabel-TV,telefon,internet",,,,,,,,,0.00,,,,,harju
676,"Õismäe tee 65, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,,,47.0,,,5,5,korteriomand,"trepikoda lukus,turvauks",131800.0,,paneelmaja,1975,,,panipaik,"kamin,põrandaküte,keskküte","dušš,pesumasin",,renoveeritud,"mööbel,TV,külmik",40.00,120.00,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
677,"Põllu tee 11, Pärnamäe küla, Viimsi vald, Harju maakond","Pärnamäe küla, Viimsi vald, Harju maakond",2022-10-30,2,2,1,66.1,klaasitud rõdu,11.00,2,2,korteriomand,"naabrivalve,turvasüsteem,turvauks",199000.0,energiamärgis määramata,plokkmaja,2005,,kindel parkimiskoht kinnistul,panipaik,"põrandaküte,gaasiküte","saun,dušš,tsentraalne kanalisatsioon",elektripliit,valmis,"eraldi sissepääs,mööbli võimalus",,,"digi-TV,internet",,,,sundventilatsioon,rullmaterjal,,,,,,,,,harju
678,"Tartu mnt 56, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,84.4,,33.80,8,8,korteriomand,"turvauks,trepikoda lukus,turvamees,videokaamerad",419000.0,C,kivimaja,2016,jah,,panipaik,"gaasiküte,põrandaküte","pesumasin,dušš",,uusehitis,"mööbli võimalus,külmik",,,internet,,,,,,,,,0.00,,,,,harju
679,"Järvesalu tee 14-1, Peetri alevik, Rae vald, Harju maakond","Peetri alevik, Rae vald, Harju maakond",2022-10-30,5,3,,90.4,,14.70,1,3,korteriomand,,344600.0,A,kivimaja,2023,,,terrass,"õhksoojuspump,põrandaküte",,,uusehitis,kinnine hoov,,,"kaabel-TV,telefon,internet",,,,,,,,,0.00,,,,,harju
680,"Aiandi tn 8/1, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,60.7,,34.00,2,9,,"naabrivalve,trepikoda lukus,turvauks",239000.0,B,kivimaja,2022,jah,,panipaik,"põrandaküte,gaasiküte","wc ja vannituba eraldi,vann,dušš,pesumasin",,uusehitis,"kinnine hoov,mööbel,mööbli võimalus,külmik",55.00,120.00,internet,,,,,,,,,0.00,,,,,harju
681,"Ehitajate tee 37, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,1,,,30.5,,,1,5,,,98000.0,,,1963,,,,keskküte,"dušš,pesumasin",gaasipliit,renoveeritud,külmik,,,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
682,"Heki tee 14, Haabneeme alevik, Viimsi vald, Harju maakond","Haabneeme alevik, Viimsi vald, Harju maakond",2022-10-30,2,1,1,51.1,,,4,5,korteriomand,"trepikoda lukus,naabrivalve,turvasüsteem,turvamees,turvauks,videokaamerad",151900.0,,kivimaja,2007,,"kindel parkimiskoht kinnistul,muu,parkimiskoht varjualuse all,varjualune,parkla","kelder,panipaik,garderoob",keskküte,"vann,pesumasin,tsentraalne kanalisatsioon",elektripliit,uusehitis,mööbel,,,"internet,telefon,digi-TV",,,,,,,,,,,,,,harju
683,"Paekaare tn 42, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,1,1,1,32.7,"klaasitud rõdu,kinnine rõdu",3.00,6,9,,"trepikoda lukus,naabrivalve",84000.0,D,paneelmaja,1978,jah,parkimiskoht varjualuse all,panipaik,keskküte,"vann,pesumasin,tsentraalne kanalisatsioon",elektripliit,renoveeritud,mööbel,,,"internet,digi-TV",,,,,,,,,,,,,,harju
684,"Tööstuse tn 91, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,42.3,kinnine rõdu,,2,5,,trepikoda lukus,95000.0,energiamärgis määramata,paneelmaja,1964,,,kelder,keskküte,vann,gaasipliit,vajab kapitaalremonti,,,,telefon,,,,,,,,,,,,,,harju
685,"Soo tn 1b/3, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,,2,91.5,,,3,4,,"trepikoda lukus,turvasüsteem,videokaamerad",369000.0,C,kivimaja,2012,jah,parkimiskoht maa-aluses garaažis,panipaik,"keskküte,kamin","vann,saun,dušš",elektripliit,valmis,"kinnine hoov,mööbel",,,"internet,digi-TV",,,,,,,,,,,,,,harju
686,"Õismäe tee 148, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,33.7,rõdu,3.00,9,9,,"turvauks,trepikoda lukus",107000.0,E,,1977,jah,,garderoob,keskküte,"dušš,pesumasin",elektripliit,renoveeritud,mööbel,,,internet,,,,,,,,,,,,,,harju
687,"Peterburi tee 14, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,45.0,,5.00,8,9,korteriomand,trepikoda lukus,149000.0,,kivimaja,,jah,,kinnine rõdu,keskküte,"vann,pesumasin",,renoveeritud,"mööbel,külmik",,,"kaabel-TV,telefon,internet",,,,,,,,,0.00,,,,,harju
688,"Punane tn 33, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,,65.0,,3.00,7,9,korteriomand,trepikoda lukus,169000.0,,kivimaja,,jah,,kinnine rõdu,keskküte,"wc ja vannituba eraldi,vann,pesumasin",,renoveeritud,"mööbel,külmik",,,"kaabel-TV,telefon,internet",,,,,,,,,0.00,,,,,harju
689,"Kotkapoja tn 2, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,2,,,49.4,,26.70,1,6,korteriomand,"videokaamerad,naabrivalve,trepikoda lukus",193000.0,D,kivimaja,2005,,,panipaik,keskküte,"vann,pesumasin",,uus viimistlus,"mööbel,külmik",,,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
690,"Anni tn 8, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,1,49.9,"rõdu,kinnine rõdu,klaasitud rõdu",,4,9,,"trepikoda lukus,turvauks",104000.0,D,paneelmaja,1982,jah,parkla,,keskküte,"vann,wc ja vannituba eraldi",elektripliit,"san remont tehtud,valmis","mööbel,mööbli võimalus",,,internet,,,,,,,,,,,,,,harju
691,"Paepargi tn 51, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,56.6,,5.40,5,14,korteriomand,videokaamerad,220000.0,B,paneelmaja,2017,jah,,panipaik,"keskküte,põrandaküte","pesumasin,vann",,uusehitis,"mööbel,mööbli võimalus,TV,külmik",,,"internet,telefon,kaabel-TV",,,,,,,,,0.00,,,,,harju
692,"Rae tn 31, Paldiski linn, Harju maakond","Paldiski linn, Harju maakond",2022-10-30,3,1,,47.8,,,3,5,kinnistu,,55000.0,E,kivimaja,1965,,,,keskküte,vann,elektripliit,uus viimistlus,"mööbel,külmik",30.00,100.00,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
693,"Mustamäe tee 201, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,1,1,1,30.0,rõdu,,3,5,korteriomand,trepikoda lukus,94000.0,energiamärgis määramata,paneelmaja,,,muu,garderoob,keskküte,"dušš,pesumasin,lokaalne kanalisatsioon,tsentraalne kanalisatsioon",gaasipliit,renoveeritud,mööbli võimalus,,,,,,,,,,,,,,,,,harju
694,"Mustamäe tee 151-88, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,60.2,,2.00,5,5,,"naabrivalve,trepikoda lukus",165000.0,,paneelmaja,1969,,,panipaik,"põrandaküte,keskküte","vann,dušš,pesumasin",gaasipliit,uus viimistlus,"mööbel,külmik",75.00,150.00,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
695,"Aiandi tn 7, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,2,73.4,rõdu,7.00,4,8,korteriomand,"trepikoda lukus,turvauks,naabrivalve",279900.0,B,kivimaja,2022,jah,"parkimiskoht varjualuse all,kindel parkimiskoht kinnistul","panipaik,garderoob",keskküte,,elektripliit,"uusehitis,valmis",kinnine hoov,,,"internet,telefon,digi-TV",21207750,,,sundventilatsioon,rullmaterjal,Tutvu projektiga,,,,,,,,harju
696,"Seebi tn 30, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,58.0,,2.50,2,5,,trepikoda lukus,139000.0,D,,,,,panipaik,keskküte,"wc ja vannituba eraldi,vann,pesumasin",gaasipliit,uus viimistlus,"mööbel,mööbli võimalus,külmik",136.00,250.00,"kaabel-TV,telefon,internet",,,,,,,,,0.00,,,,,harju
697,"Sõle tn 18, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,1,,,12.0,,,2,5,korteriomand,"videokaamerad,turvamees,trepikoda lukus,turvauks",45900.0,,kivimaja,,,,,keskküte,"vann,dušš,boiler,pesumasin",elektripliit,renoveeritud,"mööbel,külmik",,,"kaabel-TV,telefon,internet",,,,,,,,,0.00,,,,,harju
698,"Tööstuse tn 85, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,,,43.8,,3.00,2,5,,,123000.0,D,,,,,kinnine rõdu,keskküte,,gaasipliit,renoveeritud,,,,,,,,,,,,,0.00,,,,,harju
699,"Pärnu mnt 110, Kitseküla, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,1,83.0,klaasitud rõdu,8.00,14,15,,"trepikoda lukus,turvasüsteem,turvauks",259000.0,D,paneelmaja,1996,,muu,,keskküte,"vann,pesumasin,tsentraalne kanalisatsioon",elektripliit,valmis,"mööbel,mööbli võimalus",,,"internet,digi-TV",,,,,,,,,,,,,,harju
700,"Lennusadama tn 3/2, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,49.2,"rõdu,klaasitud rõdu",,5,6,,,275000.0,B,,,jah,,panipaik,,,elektripliit,uusehitis,,,,internet,,,,,,,,,,,,,,harju
701,"Linnamäe tee 43-63, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,49.6,,4.40,7,9,,,135000.0,,,1984,jah,,,keskküte,"wc ja vannituba eraldi,dušš,pesumasin",elektripliit,renoveeritud,"mööbel,külmik",,,kaabel-TV,,,,,,,,,0.00,,,,,harju
702,"Nõmme tee, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,2,,,49.7,,,4,9,kinnistu,,148000.0,,kivimaja,1986,,,,keskküte,wc ja vannituba eraldi,elektripliit,uus viimistlus,,70.00,200.00,,,,,,,,,,0.00,,,,,harju
703,"Õismäe tee 49, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,,47.0,,,1,5,kinnistu,"videokaamerad,naabrivalve,trepikoda lukus",125000.0,E,paneelmaja,,,,panipaik,keskküte,vann,elektripliit,uusehitis,"TV,külmik",40.00,140.00,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
704,"Mustakivi tee 25, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,,,37.1,,,1,,,"turvamees,turvasüsteem,videokaamerad",128000.0,B,,,jah,kindel parkimiskoht kinnistul,kelder,"keskküte,põrandaküte",,elektripliit,uusehitis,"kinnine hoov,mööbel",,,,,,,,,,,,,,,,,harju
705,"Heki tee 6, Haabneeme alevik, Viimsi vald, Harju maakond","Haabneeme alevik, Viimsi vald, Harju maakond",2022-10-30,3,2,1,84.7,,,1,5,korteriomand,"trepikoda lukus,turvasüsteem,videokaamerad,turvauks,naabrivalve",245000.0,C,kivimaja,2007,jah,parkimiskoht maa-aluses garaažis,"panipaik,garderoob","keskküte,põrandaküte","vann,wc ja vannituba eraldi,tsentraalne kanalisatsioon",elektripliit,valmis,mööbli võimalus,,,"digi-TV,internet,telefon",,,,sundventilatsioon,bituumen,,,,,,,,,harju
706,"Kopli tee 40, Peetri alevik, Rae vald, Harju maakond","Peetri alevik, Rae vald, Harju maakond",2022-10-30,4,3,2,92.0,rõdu,19.30,2,,,"trepikoda lukus,naabrivalve",360000.0,B,,2020,,parkla,"panipaik,garderoob",õhk-vesi soojuspump,"wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon,vann",elektripliit,valmis,,,,,,,,,,,,,,,,,,harju
707,"Astangu tn 19/3-143, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,3,,65.4,,6.50,2,8,korteriomand,naabrivalve,205900.0,C,paneelmaja,2017,jah,,panipaik,keskküte,"vann,dušš,pesumasin",elektripliit,uusehitis,"mööbel,TV,külmik",70.00,140.00,"kaabel-TV,telefon,internet",,,,,,,,,0.00,,,,,harju
708,"Mäepealse tn 4, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,50.8,rõdu,10.60,4,6,korteriomand,"trepikoda lukus,turvauks",169000.0,B,paneelmaja,2013,,kindel parkimiskoht kinnistul,,kombineeritud küte,"dušš,tsentraalne kanalisatsioon",elektripliit,valmis,,,,,26801301,,,sundventilatsioon,,,,,,,,,,harju
709,"Madara tn 13a, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,30.0,,,3,3,korteriomand,"trepikoda lukus,naabrivalve",110000.0,energiamärgis määramata,puitmaja,1937,,parkla,"kelder,panipaik","kombineeritud küte,elektriküte,põrandaküte,gaasiküte,õhksoojuspump,autonoomne küte","konditsioneer,dušš,pesumasin,tsentraalne kanalisatsioon",gaasipliit,"valmis,renoveeritud,san remont tehtud","kinnine hoov,mööbel,mööbli võimalus",,,"internet,telefon,digi-TV",18462401,,,"sundventilatsioon,kliimaseade,konditsioneer",plekk,,,,,,,,,harju
710,"Tornimäe tn 7, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,1,68.3,,,13,30,korteriomand,"turvamees,turvauks,trepikoda lukus,videokaamerad",375000.0,energiamärgis määramata,betoonmaja,2006,,,,,,,valmis,,,,,,,,,,,,,,,,,,harju
711,"Pikri tn 3, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,4,,,80.4,klaasitud rõdu,,1,9,korteriomand,trepikoda lukus,155000.0,D,paneelmaja,1981,jah,,,"keskküte,põrandaküte","vann,pesumasin",elektripliit,renoveeritud,mööbel,,,"internet,digi-TV",,,,,,,,,,,,,,harju
712,"Vana-Rannamõisa tee 1f/5, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,1,84.2,rõdu,4.60,2,,korteriomand,trepikoda lukus,300000.0,C,,2011,,parkla,panipaik,gaasiküte,,,uus viimistlus,,,,,,,,sundventilatsioon,,"Lisainfot, leiab siit",,,,,,,,harju
713,"Sõpruse pst 236, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,,,47.3,,3.00,3,5,,trepikoda lukus,129500.0,D,paneelmaja,1966,,,panipaik,keskküte,"vann,dušš,pesumasin",elektripliit,renoveeritud,mööbli võimalus,,,,,,,,,,,,0.00,,,,,harju
714,"Kalevipoja põik 5, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,,,63.7,,,8,9,korteriomand,"trepikoda lukus,turvauks",137000.0,D,,1980,jah,,,keskküte,"wc ja vannituba eraldi,vann",,vajab renoveerimist,,110.00,190.00,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
715,"Astangu tn 56, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,63.4,,,1,5,korteriomand,trepikoda lukus,138550.0,D,kivimaja,1985,,,,keskküte,"vann,dušš",,uus viimistlus,"mööbel,mööbli võimalus,külmik",,,,,,,,,,,,0.00,,,,,harju
716,"Jõhvika tee 4, Pärnamäe küla, Viimsi vald, Harju maakond","Pärnamäe küla, Viimsi vald, Harju maakond",2022-10-30,2,1,,55.0,,,2,2,korteriomand,turvauks,189000.0,,kivimaja,2005,,,panipaik,"põrandaküte,gaasiküte","vann,dušš,pesumasin",,uus viimistlus,"mööbel,mööbli võimalus,külmik",,,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
717,"Pae tn 84, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,3,1,67.9,"rõdu,kinnine rõdu",,1,9,korteriomand,"trepikoda lukus,naabrivalve,turvauks,videokaamerad",140000.0,A,paneelmaja,,,,,keskküte,,elektripliit,renoveeritud,,,,,,,,,,,,,,,,,,harju
718,"Virbi tn 18, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,1,36.7,kinnine rõdu,4.00,9,9,,"trepikoda lukus,turvauks,videokaamerad",110000.0,energiamärgis määramata,paneelmaja,1981,jah,,"kelder,panipaik,garderoob",keskküte,"dušš,tsentraalne kanalisatsioon",elektripliit,renoveeritud,,,,"internet,digi-TV",,,,,,,,,,,,,,harju
719,"Sepa tn, Kopli Liinid, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,2,73.5,terrass,16.30,1,5,korteriomand,"trepikoda lukus,naabrivalve",335000.0,B,kivimaja,2019,jah,parkimiskoht maa-aluses garaažis,panipaik,põrandaküte,"pesumasin,vann,tsentraalne kanalisatsioon,dušš",elektripliit,uusehitis,"kinnine hoov,mööbel,mööbli võimalus",,,"internet,telefon,digi-TV",,,,sundventilatsioon,,,,,,,,,,harju
720,"Tartu mnt 6, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,,,69.0,,,3,5,korteriomand,,205000.0,,kivimaja,1936,,,,,,,vajab kapitaalremonti,,,,,,,,,,,,,0.00,,,,,harju
721,"K. Kärberi tn 7, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,,39.4,,6.20,1,5,,turvauks,114000.0,D,paneelmaja,1984,,,panipaik,keskküte,dušš,elektripliit,uus viimistlus,"TV,külmik",,,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
722,"Raadiku tn 4, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,3,,49.3,,3.00,4,9,korteriomand,"videokaamerad,naabrivalve,trepikoda lukus,turvauks",129900.0,,paneelmaja,,jah,,kinnine rõdu,keskküte,"wc ja vannituba eraldi,vann,dušš",,uus viimistlus,"mööbli võimalus,TV,külmik",45.00,98.00,"kaabel-TV,internet",16766601,,,,,,,,0.00,,,,,harju
723,"Erika tn, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,37.0,,,5,5,korteriomand,"trepikoda lukus,videokaamerad",125000.0,energiamärgis määramata,kivimaja,1965,,muu,"panipaik,garderoob",keskküte,"boiler,pesumasin,dušš",elektripliit,renoveeritud,"mööbel,mööbli võimalus",,,"internet,digi-TV",,,,sundventilatsioon,bituumen,,,,,,,,,harju
724,"Paepargi tn 37, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,,88.3,,5.00,4,4,korteriomand,"videokaamerad,trepikoda lukus",326000.0,B,paneelmaja,2017,,,panipaik,keskküte,"wc ja vannituba eraldi,vann,dušš,pesumasin",,uus viimistlus,"mööbel,mööbli võimalus,TV,külmik",70.00,200.00,"kaabel-TV,internet",,,,,,,,,0.00,,,,,harju
725,"Võru tn 8, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,3,1,66.6,kinnine rõdu,3.00,7,9,,"trepikoda lukus,naabrivalve,turvauks,videokaamerad",149900.0,energiamärgis määramata,paneelmaja,,jah,,,keskküte,"vann,pesumasin,tsentraalne kanalisatsioon",elektripliit,valmis,mööbel,,,internet,,,,,,,,,,,,,,harju
726,"Kolde pst 84, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,47.1,,,2,5,korteriomand,trepikoda lukus,125000.0,D,paneelmaja,1972,,,panipaik,keskküte,"dušš,pesumasin",gaasipliit,renoveeritud,"kinnine hoov,mööbli võimalus,külmik",90.00,190.00,,5977701,,,,,,,,0.00,,,,,harju
