,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Lisaruumid,Küte,Sanitaar,Pliit,Seisukord,Lisaväärtused,Suve kommunaalid,Talve kommunaalid,Side,Kinnistu number,Krunt,tasuta parkimine,Ventilatsioon,Katus,Lisainfo,Lisanduvad kommunaalid,Lisanduvad kommunaalkulud,Tagatisraha,Maakleritasu,Parkimiskohti,tasuline parkimine,Piirangud,maakond
2684,"Graniidi tee 23/1-11, Rae küla, Rae küla, Rae vald, Harju maakond","Rae küla, Rae vald, Harju maakond",2022-10-30,3,2,,63.8,rõdu,7.50,3,3,korteriomand,,208900.0,A,kivimaja,2023,jah,,,,,,uusehitis,,,,,,,,,,,,,,,,,,harju
2685,"Graniidi tee 23/1-8, Rae küla, Rae küla, Rae vald, Harju maakond","Rae küla, Rae vald, Harju maakond",2022-10-30,4,3,,70.6,rõdu,5.90,2,3,korteriomand,,231900.0,A,kivimaja,2023,jah,,,,,,uusehitis,,,,,,,,,,,,,,,,,,harju
2686,"Mahtra tn 48, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,64.5,rõdu,3.00,3,9,korteriomand,,125000.0,,paneelmaja,1986,jah,,,,,,valmis,mööbel,120.00,200.00,,,,,,,,,,,,,,,harju
2687,"Dolomiidi tee 2/3-10, Rae küla, Rae vald, Harju maakond","Rae küla, Rae vald, Harju maakond",2022-10-30,3,2,,63.6,rõdu,6.00,2,3,korteriomand,,221905.0,A,kivimaja,2023,jah,,,,,,uusehitis,,,,,12309702,,,,,,,,,,,,,harju
2688,"Graniidi tee 23/1-3, Rae küla, Rae küla, Rae vald, Harju maakond","Rae küla, Rae vald, Harju maakond",2022-10-30,4,3,,70.0,rõdu,15.10,1,3,korteriomand,,236900.0,A,kivimaja,2023,jah,,,,,,uusehitis,,,,,,,,,,,,,,,,,,harju
2689,"Maleva põik 1, Kopli, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,4,,,245.0,,,1,6,korteriomand,,395000.0,,,,,,,keskküte,,,valmis,,,,,,,,,,,,,,,,,,harju
2690,"Raua tn 51, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,4,,,78.7,,,3,3,korteriomand,"turvauks,trepikoda lukus",289000.0,E,puitmaja,1940,,,,keskküte,vann,,,,,,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,harju
2691,"Mahtra tn 48, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,,64.5,,,3,9,korteriomand,"naabrivalve,trepikoda lukus",125000.0,D,paneelmaja,1986,jah,,,keskküte,"wc ja vannituba eraldi,vann",elektripliit,valmis,"mööbel,külmik",120.00,200.00,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,harju
2692,"Paekaare tn 40, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,3,3,,66.0,kinnine rõdu,3.00,3,9,korteriomand,"turvauks,naabrivalve,trepikoda lukus",125000.0,D,paneelmaja,1978,jah,tasuta parkimine,,keskküte,"vann,dušš,wc ja vannituba eraldi,pesumasin",elektripliit,san remont tehtud,,,,"internet,telefon,digi-TV",,,,sundventilatsioon,rullmaterjal,,,,,,,,,harju
2693,"Lüüsi tn 4, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,,53.3,,,1,6,korteriomand,trepikoda lukus,219000.0,B,paneelmaja,2020,jah,,,keskküte,vann,,valmis,külmik,,,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,harju
2694,"Vesipapi tn 8-30, Löwenruh, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,4,3,,93.1,rõdu,9.00,4,13,korteriomand,,380000.0,A,,2024,jah,,,,"dušš,vann",,uusehitis,,,,,12757650,,,,,,,,,,,,,harju
2695,"M. Härma tn 1, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,1,49.2,kinnine rõdu,3.00,1,9,korteriomand,"turvauks,trepikoda lukus,naabrivalve",115000.0,D,paneelmaja,1980,jah,tasuta parkimine,,keskküte,"dušš,vann,wc ja vannituba eraldi",,valmis,,,,"internet,digi-TV,telefon",,,,,rullmaterjal,,,,,,,,,harju
2696,"Lõime tn 25a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,1,37.0,,,4,4,korteriomand,"turvauks,trepikoda lukus,naabrivalve",88500.0,D,kivimaja,1960,,tasuta parkimine,,keskküte,"boiler,dušš,vann",gaasipliit,vajab renoveerimist,,,,"internet,digi-TV,telefon",,,,sundventilatsioon,plekk,,,,,,,,,harju
