,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Küte,Sanitaar,Pliit,Seisukord,Lisanduvad kommunaalid,Tagatisraha,Lisaruumid,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Side,Katus,Lisainfo,Ventilatsioon,Krunt,Piirangud,tasuline parkimine,tasuta parkimine,Maakleritasu,Parkimiskohti,Lisanduvad kommunaalkulud,maakond
2803,"Päevalille tn 8-94, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,41.5,,,15,18,korteriomand,"turvauks,trepikoda lukus",,179900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2804,"Päevalille tn 8-97, Rocca Towers, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,32.2,rõdu,,16,18,korteriomand,"turvauks,trepikoda lukus",,199900.0,,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,panipaik,,,,,,,,,,,,,,,harju
2805,"Kaupmehe tn 7, SOODNE PAKKUMINE, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,45.4,rõdu,10.00,8,8,korteriomand,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",189600.0,energiamärgis määramata,kivimaja,2007,jah,,keskküte,"dušš,pesumasin",,uusehitis,,,,80.00,140.00,,"telefon,internet,kaabel-TV",,,,,,,,,,,harju
2806,"Asunduse tn 4, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-14,3,,,47.3,,,5,5,,trepikoda lukus,mööbel,132950.0,,kivimaja,,,tasuta parkimine,keskküte,,,renoveeritud,,,panipaik,,,,,,,,,,,,,,,harju
2807,"Sääse tn 11, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-14,4,,,66.9,rõdu,,6,9,,trepikoda lukus,mööbel,172950.0,E,paneelmaja,,jah,tasuta parkimine,keskküte,,,renoveeritud,,,,,,,,,,,,,,,,,,harju
2808,"Puhangu tn 67, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,4,,,47.1,rõdu,,5,5,,trepikoda lukus,mööbel,135950.0,E,paneelmaja,,,tasuta parkimine,keskküte,,,renoveeritud,,,panipaik,,,,internet,,,,,,,,,,,harju
2809,"Kuldnoka tn 6, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2023-01-14,3,,,43.1,kinnine rõdu,,5,,,trepikoda lukus,mööbel,145950.0,D,paneelmaja,,jah,tasuta parkimine,keskküte,,,renoveeritud,,,,,,,,,,,,,,,,,,harju
2810,"Puhangu tn 61, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,47.3,,,1,5,,,,127950.0,D,paneelmaja,,,,keskküte,,,renoveeritud,,,panipaik,,,,,,,,,,,,,,,harju
2811,"Hansu tn 4/1, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,75.1,rõdu,12.10,2,3,korteriomand,"turvauks,trepikoda lukus,videokaamerad",,200000.0,,betoonmaja,2007,,"tasuta parkimine,kindel parkimiskoht kinnistul","põrandaküte,keskküte","vann,dušš,tsentraalne kanalisatsioon",elektripliit,"valmis,renoveeritud,uus viimistlus",,,"panipaik,garderoob",,,,"internet,telefon,digi-TV",bituumen,,,,,,,,,,harju
2812,"Hansu tn 4/1, Tiskre küla, Harku vald, Harju maakond","Tiskre küla, Harku vald, Harju maakond",2023-01-14,3,2,1,75.1,rõdu,12.10,2,3,korteriomand,"turvauks,trepikoda lukus,videokaamerad",,200000.0,,betoonmaja,2007,,"tasuta parkimine,kindel parkimiskoht kinnistul","põrandaküte,keskküte","vann,dušš,tsentraalne kanalisatsioon",elektripliit,"valmis,renoveeritud,uus viimistlus",,,"panipaik,garderoob",,,,"internet,telefon,digi-TV",bituumen,,,,,,,,,,harju
2813,"Kodu tee 1-2, Peetri alevik, Rae vald, Harju maakond","Peetri alevik, Rae vald, Harju maakond",2023-01-14,4,3,,92.6,rõdu,36.30,1,3,korteriomand,"turvauks,trepikoda lukus","mööbel,külmik",331990.0,B,kivimaja,2020,,,"gaasiküte,põrandaküte","dušš,pesumasin,wc ja vannituba eraldi",,valmis,,,panipaik,,,,,,,,,,,,,,,harju
2814,"Seene tn 16, Nõmme linnaosa, Tallinn, Harju maakond","Nõmme linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,75.5,,,2,2,kaasomand,"trepikoda lukus,naabrivalve","kinnine hoov,mööbel,mööbli võimalus",235000.0,energiamärgis määramata,palk-kivimaja,1949,,"parkimiskoht garaažis,tasuta parkimine,kindel parkimiskoht kinnistul","põrandaküte,elektriküte,kamin","vann,boiler,tsentraalne kanalisatsioon,dušš,pesumasin",elektripliit,valmis,,,"kelder,panipaik,garderoob",,,,"internet,telefon,digi-TV",rullmaterjal,,,,,,,,,,harju
2815,"Jalami tn 1, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,53.8,rõdu,4.60,1,8,korteriomand,"videokaamerad,trepikoda lukus",külmik,167900.0,B,paneelmaja,2019,,,keskküte,"dušš,pesumasin",elektripliit,uusehitis,,,panipaik,,,,"kaabel-TV,internet,telefon",,,,,,,,,,,harju
2816,"Päevalille tn 3, Rocca Al Mare, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,,70.2,,,1,16,,,mööbel,144900.0,,,1983,,,,,,renoveeritud,,,panipaik,,,,,,,,,,,,,,,harju
