,ID,Aadress,Kuupaev,Seisukord,Tube,Vannitube,Üldpind,Köögi pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Katastritunnus,Energiamärgis,Materjal,Ehitusaasta,Parkimine,Katus,Lisaruumid,Küte,Sanitaar,Pliit,Side,Ventilatsioon,Rõdu pind,Tagatisraha,Magamistube,Rõdu,Kinnistu number,Suve kommunaalid,Talve kommunaalid,tasuta parkimine,Krunt,maakond
10,8659657,"Petseri tn 12-31,Võru linn, Võru maakond",2022-10-22,renoveeritud,2,,41.7 m²,,,4,korteriomand,"turvauks,trepikoda lukus","mööbel,külmik",62900,1 508.39 €/m²,"198 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:009:0780,F,paneelmaja,1963,,,,"keskküte,põrandaküte","dušš,boiler,pesumasin",,kaabel-TV,,,,1,,,50.00,120.00,,,voru
11,3732998,"Petseri tn 19,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,1,,27.2 m²,,1,5,korteriomand,trepikoda lukus,"mööbel,külmik",38900,1 430.15 €/m²,"122 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:009:0430,energiamärgis määramata,paneelmaja,1970,,,,keskküte,"vann,pesumasin",,kaabel-TV,,,,,,,,,,,voru
12,8050417,"Petseri tn 9,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,1,,27.3 m²,,5,5,korteriomand,trepikoda lukus,külmik,38900,1 424.91 €/m²,"122 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:009:0370,energiamärgis määramata,paneelmaja,1970,,,,keskküte,"dušš,pesumasin",elektripliit,kaabel-TV,,,,,,,,,,,voru
13,6774281,",Uue-Antsla küla, Antsla vald, Võru maakond",2022-10-22,,2,,48.8 m²,,,2,,,,12000,245.90 €/m²,"38 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",84301:004:0003,,,1978,,,,,,,,,,,,,,,,,,voru
14,7554365,"Männi 3,Viitina küla, Rõuge vald, Võru maakond",2022-10-22,,3,,50.2 m²,,2,2,,,,12000,239.04 €/m²,"38 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",69702:002:1500,,,,,,,,,,,,,,,,,,,,,voru
15,3710355,"Pika tee 5,Lusti küla, Antsla vald, Võru maakond",2022-10-22,valmis,1,,43.6 m²,,3,3,korteriomand,,mööbel,22000,504.59 €/m²,"69 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",14301:002:0064,energiamärgis määramata,kivimaja,1984,,,panipaik,keskküte,"dušš,boiler",elektripliit,,,,,,rõdu,,,,,,voru
16,5299456,"Pilpajärve tn 4,Varstu alevik, Rõuge vald, Võru maakond",2022-10-22,,,,26 m²,,,,,,,3000,115.38 €/m²,"9 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,,,,,,,,,,,,,,,,,,,,voru
17,7858529,"Jüri tn 2,Võru linn, Võru maakond",2022-10-22,,3,1,58.6 m²,,1,2,korteriomand,,eraldi sissepääs,39500,674.06 €/m²,"124 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,puitmaja,1966,tasuta parkimine,eterniit,panipaik,"õhksoojuspump,ahjuküte","tsentraalne kanalisatsioon,dušš",,"internet,digi-TV",,,,2,,,,,,,voru
18,7889894,"Jaama tn 2-1,Võru linn, Võru maakond",2022-10-22,vajab kapitaalremonti,2,,39.2 m²,,1,2,korteriomand,,,9900,252.55 €/m²,"31 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,energiamärgis määramata,puitmaja,1959,,,,,,,,,,,,,,,,,,voru
19,5471099,"Tallinna mnt 21,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,3,,55.3 m²,,2,2,,trepikoda lukus,,39900,721.52 €/m²,"125 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,energiamärgis määramata,,1959,,,kelder,,,puupliit,,,,,2,,,,,,,voru
20,1985519,"Olevi tn 23,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,3,,63.3 m²,,5,5,korteriomand,trepikoda lukus,,55000,868.88 €/m²,"173 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,E,paneelmaja,1988,,,,keskküte,"dušš,wc ja vannituba eraldi,pesumasin",,internet,,,,2,,,,,,,voru
21,6665122,"Põllu tee 3,Väimela alevik, Võru vald, Võru maakond",2022-10-22,vajab kapitaalremonti,2,1,48.3 m²,9.60,3,3,korteriomand,,,39000,807.45 €/m²,"123 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91801:005:0029,energiamärgis määramata,paneelmaja,1978,tasuta parkimine,,kelder,keskküte,"tsentraalne kanalisatsioon,wc ja vannituba eraldi,boiler,dušš",elektripliit,"telefon,internet",,,,1,,,,,,,voru
22,7232862,"Kooli tn 5,Võru linn, Võru maakond",2022-10-22,valmis,4,,73.6 m²,,4,5,korteriomand,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",77500,1 052.99 €/m²,"243 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:004:0370,,paneelmaja,1984,,,kelder,keskküte,"dušš,wc ja vannituba eraldi,boiler,pesumasin",elektripliit,"kaabel-TV,internet",,4.00,,3,rõdu,867641,110.00,170.00,,,voru
23,8768851,"Papli tee 1,Väimela alevik, Võru vald, Võru maakond",2022-10-22,,4,,64 m²,,2,3,,,,39000,609.38 €/m²,"123 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,energiamärgis määramata,kivimaja,1964,,,,,,,,,,,,,,,,,,voru
24,9113415,"Jaama tn,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,2,,45.2 m²,,1,2,korteriomand,,"mööbli võimalus,külmik",36000,796.46 €/m²,"113 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,puitmaja,,,,,õhksoojuspump,"pesumasin,dušš",puupliit,,,,,1,,0,,,jah,,voru
25,7172134,"Koreli tn 24,Võru linn, Võru maakond",2022-10-22,valmis,4,,76.4 m²,,4,5,korteriomand,"trepikoda lukus,turvauks",,73500,962.04 €/m²,"231 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:011:1240,energiamärgis määramata,paneelmaja,1986,,,,keskküte,"dušš,vann,wc ja vannituba eraldi",elektripliit,internet,,4.00,,3,rõdu,,,,jah,2422 m²,voru
