,rooms,floors,area_outside,area,link,address,hind,maakond
923,2,3/5,,29.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/8886928,"Tihase tn 27-14,Kristiine linnaosa, Tallinn, Harju maakond",143000,harju
924,1,,,30,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-e-vilde-tee/7610473,"E. Vilde tee 63,Mustamäe linnaosa, Tallinn, Harju maakond",72500,harju
925,2,3/5,,28.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/2486260,"Tihase tn 27-13,Kristiine linnaosa, Tallinn, Harju maakond",145000,harju
926,2,3/5,,40.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/2537789,"Tihase tn 27-9,Kristiine linnaosa, Tallinn, Harju maakond",193000,harju
927,2,3/5,,43.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-kristiine-linnaosa-tihase-tn/5133589,"Tihase tn 27-8,Kristiine linnaosa, Tallinn, Harju maakond",197000,harju
928,3,1/5,,46.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-paldiski-mnt/7980856,"Paldiski mnt 187,Haabersti linnaosa, Tallinn, Harju maakond",119990,harju
929,2,4/5,,44.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-e-vilde-tee/9240265,"E. Vilde tee 109,Mustamäe linnaosa, Tallinn, Harju maakond",124000,harju
930,2,4/5,,47.9,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-j-sutiste-tee/6105071,"J. Sütiste tee 40,Mustamäe linnaosa, Tallinn, Harju maakond",90000,harju
931,1,5/5,,34,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-pikri-tn/8846084,"Pikri tn 10,Lasnamäe linnaosa, Tallinn, Harju maakond",75000,harju
932,3,6/9,,65.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-oismae-tee/2993140,"Õismäe tee 86,Haabersti linnaosa, Tallinn, Harju maakond",180000,harju
933,1,1/2,,20.8,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-hagudi-tn/8568538,"Hagudi tn 18, Kitseküla,Kesklinna linnaosa, Tallinn, Harju maakond",55000,harju
934,2,3/14,,48.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-paepargi-tn/5294036,"Paepargi tn 51,Lasnamäe linnaosa, Tallinn, Harju maakond",217777,harju
935,3,4/5,,50.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-videviku-tn/8801969,"Videviku tn 16,Kesklinna linnaosa, Tallinn, Harju maakond",159000,harju
936,3,7/9,,65.7,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-punane-tn/3463635,"Punane tn 39,Lasnamäe linnaosa, Tallinn, Harju maakond",165000,harju
937,3,3/4,,74.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-hanijala-tn/3063252,"Hanijala tn 3,Haabersti linnaosa, Tallinn, Harju maakond",200000,harju
938,1,5/5,,31.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-astangu-tn/8276889,"Astangu tn 64,Haabersti linnaosa, Tallinn, Harju maakond",81000,harju
939,4,6/9,,79.3,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-virbi-tn/1212463,"Virbi tn 20,Lasnamäe linnaosa, Tallinn, Harju maakond",127999,harju
940,2,3/5,,54.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-muhu-tn/2154173,"Muhu tn 8,Lasnamäe linnaosa, Tallinn, Harju maakond",115000,harju
941,1,3/5,,21.9,https://city24.ee/real-estate/apartments-for-sale/saue-vald-laagri-alevik-kuuse-tn/7593020,"Kuuse tn 26,Laagri alevik, Saue vald, Harju maakond",65000,harju
942,2,,,49.2,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-virbi-tn/7536872,"Virbi tn 2-71,Lasnamäe linnaosa, Tallinn, Harju maakond",119000,harju
943,2,2/3,,45.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-sole-tn/1186837,"Sõle tn 78,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",149000,harju
944,3,2/5,,66.8,https://city24.ee/real-estate/apartments-for-sale/saue-vald-turba-alevik-metsa-tn/2985003,"Metsa tn 4,Turba alevik, Saue vald, Harju maakond",49900,harju
945,3,9/9,,66.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-punane-tn/4734793,"Punane tn 31,Lasnamäe linnaosa, Tallinn, Harju maakond",158000,harju
