,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud
40,valmis,3.0,2.0,72.8,3.0,5.0,korteriomand,"naabrivalve,trepikoda lukus,turvauks",219500.0,E,paneelmaja,2006.0,"põrandaküte,gaasiküte","pesumasin,dušš,vann,wc ja vannituba eraldi",,"mööbel,külmik",,elektripliit,"internet,kaabel-TV,telefon",3.0,,,,,jah,rõdu,,,,,,,,,,,,
41,renoveeritud,5.0,3.0,116.6,2.0,3.0,korteriomand,"turvauks,trepikoda lukus,naabrivalve",420000.0,,puitmaja,1925.0,"kamin,gaasiküte","dušš,vann",,"mööbel,külmik",,elektripliit,"internet,kaabel-TV",2.1,,,,,,rõdu,garaaž,,,,,,,,,,,
42,uusehitis,2.0,,47.5,1.0,5.0,korteriomand,,129990.0,,kivimaja,1968.0,keskküte,"dušš,vann",,külmik,,elektripliit,,,,,,,,,,,,,,,,,,,,
43,vajab kapitaalremonti,3.0,2.0,65.6,8.0,9.0,kinnistu,trepikoda lukus,114000.0,E,paneelmaja,1977.0,keskküte,"dušš,wc ja vannituba eraldi",,,,elektripliit,,0.0,,,,,jah,rõdu,,,,,,,,,,,,
44,uusehitis,2.0,1.0,49.1,4.0,4.0,korteriomand,trepikoda lukus,179900.0,B,,2018.0,"gaasiküte,põrandaküte","dušš,pesumasin",,külmik,,,internet,4.7,,,,,,rõdu,,,,,,,,,,,,
45,uusehitis,4.0,3.0,91.0,1.0,2.0,korteriomand,trepikoda lukus,299900.0,C,kivimaja,2018.0,keskküte,"saun,vann,pesumasin,dušš",,,garderoob,elektripliit,internet,,,,,,,rõdu,,,10166 m²,,,,,,,,,
46,uusehitis,3.0,2.0,57.7,3.0,3.0,korteriomand,"trepikoda lukus,naabrivalve,videokaamerad",177000.0,D,kivimaja,2018.0,"põrandaküte,keskküte",vann,,,,elektripliit,"internet,kaabel-TV",9.5,,,,,,rõdu,,,,,,,,,,,,
47,uusehitis,3.0,2.0,82.0,3.0,3.0,korteriomand,"turvauks,trepikoda lukus,naabrivalve",245000.0,,kivimaja,2008.0,"õhksoojuspump,keskküte,põrandaküte","saun,wc ja vannituba eraldi,pesumasin,dušš",,"mööbel,külmik",,elektripliit,"internet,telefon,kaabel-TV",12.6,,,,,,rõdu,,,,,,,,,,,,
48,renoveeritud,4.0,3.0,168.8,4.0,5.0,korteriomand,"trepikoda lukus,turvauks,naabrivalve",780000.0,,kivimaja,1793.0,"õhksoojuspump,elektriküte,põrandaküte","pesumasin,dušš,boiler,vann,wc ja vannituba eraldi",,"mööbel,külmik",,,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,kliimaseade,,,,,
49,uusehitis,4.0,3.0,107.6,3.0,3.0,korteriomand,,539800.0,A,,2023.0,põrandaküte,"saun,dušš,vann,wc ja vannituba eraldi",2.0,mööbli võimalus,garderoob,,,14.2,,,,,jah,rõdu,parkimiskoht maa-aluses garaažis,,,,Vaata kodulehte,,sundventilatsioon,,,,,
50,valmis,2.0,1.0,37.9,3.0,8.0,korteriomand,"turvauks,trepikoda lukus",199900.0,C,kivimaja,2016.0,"keskküte,gaasiküte","pesumasin,dušš",,külmik,,,internet,15.8,,,,,jah,rõdu,,,,,,,,,,,,
51,uusehitis,2.0,1.0,56.7,1.0,5.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus,videokaamerad",180000.0,energiamärgis määramata,paneelmaja,2012.0,"keskküte,põrandaküte","pesumasin,vann,dušš",,"mööbel,külmik",,elektripliit,"internet,telefon,kaabel-TV",12.0,,,,,jah,rõdu,,,,,,,,,,,,
52,renoveeritud,2.0,1.0,47.4,3.0,5.0,korteriomand,"naabrivalve,trepikoda lukus",129000.0,,paneelmaja,1978.0,"keskküte,põrandaküte","pesumasin,dušš,vann,wc ja vannituba eraldi",,mööbel,,elektripliit,"internet,telefon,kaabel-TV",,,115.0,170.0,6674202,,,,,,,,,,,,,,
53,uusehitis,2.0,1.0,27.8,5.0,5.0,korteriomand,"trepikoda lukus,turvauks",148000.0,B,kivimaja,2023.0,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon",1.0,,,,"digi-TV,internet",,,,,,jah,,"parkimiskoht maa-aluses garaažis,kindel parkimiskoht kinnistul",rullmaterjal,,,Külaliskorterid Kristiine linnaosas / Hea investeering igal ajal.,,sundventilatsioon,,,,,
54,renoveeritud,2.0,1.0,49.8,1.0,9.0,korteriomand,"trepikoda lukus,turvauks",115000.0,D,paneelmaja,1981.0,keskküte,wc ja vannituba eraldi,1.0,mööbli võimalus,garderoob,elektripliit,internet,,,,,,jah,klaasitud rõdu,,,,,,,,,,,,
55,valmimisjärgus,3.0,2.0,64.4,1.0,8.0,korteriomand,,29000.0,A,betoonmaja,2022.0,keskküte,,1.0,,panipaik,,,37.3,,,,,,terrass,kindel parkimiskoht kinnistul,,,,Paevälja pst 11,,sundventilatsioon,,,,,
