,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud
2501,uusehitis,3.0,2.0,75.4,4.0,8.0,korteriomand,,305000.0,A,,2024.0,,"dušš,vann",,,,,,9.0,,,,12757650,jah,rõdu,,,,,,,,,,,,
2502,uusehitis,3.0,2.0,73.0,4.0,8.0,korteriomand,,310000.0,A,,2024.0,,"dušš,vann",,,,,,9.0,,,,12757650,jah,rõdu,,,,,,,,,,,,
2503,uusehitis,2.0,1.0,43.8,4.0,13.0,korteriomand,,183000.0,A,,2024.0,,dušš,,,,,,9.0,,,,12757650,jah,rõdu,,,,,,,,,,,,
2504,uusehitis,3.0,2.0,70.6,4.0,8.0,korteriomand,,285000.0,A,,2024.0,,"dušš,vann",,,,,,9.0,,,,12757650,jah,rõdu,,,,,,,,,,,,
2505,uusehitis,3.0,2.0,65.2,4.0,13.0,korteriomand,,280000.0,A,,2024.0,,dušš,,,,,,9.0,,,,12757650,jah,rõdu,,,,,,,,,,,,
2506,vajab renoveerimist,3.0,2.0,66.5,3.0,4.0,korteriomand,"turvauks,trepikoda lukus",136000.0,E,kivimaja,1960.0,keskküte,"pesumasin,wc ja vannituba eraldi,dušš",1.0,kinnine hoov,"kelder,panipaik",gaasipliit,,,,,,,,,parkimiskoht puudub,eterniit,,,,,,,,,,
2507,,1.0,1.0,16.4,4.0,5.0,kaasomand,trepikoda lukus,59500.0,D,paneelmaja,1970.0,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",1.0,mööbel,,elektripliit,,,,,,,,,tasuta parkimine,bituumen,,,,,,,,,,
2508,,1.0,1.0,19.4,2.0,2.0,korteriomand,,52000.0,energiamärgis määramata,puitmaja,1905.0,"elektriküte,ahjuküte","dušš,pesumasin,tsentraalne kanalisatsioon,boiler",1.0,mööbel,,,,,,,,,,,tasuta parkimine,plekk,,,,,,,,,,
2509,uusehitis,2.0,1.0,56.1,4.0,8.0,korteriomand,,238000.0,A,,2024.0,,dušš,,,,,,9.0,,,,12757650,jah,rõdu,,,,,,,,,,,,
2510,uusehitis,2.0,1.0,49.3,4.0,8.0,korteriomand,,208000.0,A,,2024.0,,dušš,,,,,,9.0,,,,12757650,jah,rõdu,,,,,,,,,,,,
2511,valmis,2.0,1.0,82.2,2.0,4.0,korteriomand,,265000.0,E,kivimaja,2009.0,elektriküte,"saun,tsentraalne kanalisatsioon,vann,dušš,pesumasin,boiler",2.0,mööbel,"panipaik,garderoob",elektripliit,"internet,digi-TV",,,,,,jah,rõdu,parkimiskoht maa-aluses garaažis,,,,,,,,,,,
2512,renoveeritud,4.0,4.0,92.3,2.0,6.0,korteriomand,"trepikoda lukus,videokaamerad",285000.0,energiamärgis määramata,kivimaja,2008.0,keskküte,"saun,vann,tsentraalne kanalisatsioon,pesumasin,wc ja vannituba eraldi",1.0,"kinnine hoov,mööbel,mööbli võimalus","kelder,panipaik,garderoob",elektripliit,"internet,digi-TV,telefon",11.1,,,,,jah,rõdu,kindel parkimiskoht kinnistul,,,,,,,,,,,
2513,valmis,3.0,2.0,61.1,5.0,5.0,korteriomand,,121500.0,energiamärgis määramata,paneelmaja,1969.0,,,1.0,,panipaik,gaasipliit,,,,,,,,rõdu,,,,,,,,,,,,
2514,valmis,3.0,2.0,73.9,2.0,5.0,korteriomand,,219000.0,D,kivimaja,1959.0,,,1.0,,,gaasipliit,,,,,,,,,,,,,,,,,,,,
2515,valmis,3.0,2.0,60.1,8.0,9.0,korteriomand,,134000.0,D,paneelmaja,1970.0,,,1.0,,,gaasipliit,,,,,,,,rõdu,,,,,,,,,,,,
2516,uusehitis,2.0,1.0,45.1,4.0,14.0,korteriomand,,170000.0,C,paneelmaja,2019.0,,,1.0,,panipaik,elektripliit,,,,,,0,,rõdu,,,,,,,,,,,,
2517,valmis,2.0,1.0,51.8,5.0,6.0,korteriomand,"naabrivalve,trepikoda lukus,turvauks",220000.0,energiamärgis määramata,kivimaja,1918.0,keskküte,"pesumasin,dušš,vann",,külmik,,elektripliit,,,,,,0,,,,,,,,,,,,,,
2518,valmis,2.0,1.0,37.9,2.0,5.0,korteriomand,"trepikoda lukus,naabrivalve,turvauks",99900.0,F,kivimaja,1987.0,keskküte,"pesumasin,dušš",,külmik,,elektripliit,,,,,,0,,,,,,,,jah,,,,,,
2519,valmis,2.0,1.0,47.7,3.0,3.0,korteriomand,"trepikoda lukus,turvauks",174900.0,B,paneelmaja,2020.0,"keskküte,elektriküte,põrandaküte","pesumasin,dušš",1.0,"mööbel,TV,külmik",,elektripliit,"internet,kaabel-TV,telefon",,,,,,,rõdu,,,,,,,,,,"elekter,küte,vesi",,
2520,renoveeritud,3.0,2.0,68.3,1.0,3.0,korteriomand,"naabrivalve,trepikoda lukus,turvauks",190000.0,energiamärgis määramata,kivimaja,2002.0,"kamin,keskküte","tsentraalne kanalisatsioon,vann,pesumasin",1.0,"kinnine hoov,mööbli võimalus","panipaik,garderoob",elektripliit,"digi-TV,internet",4.9,,,,,,terrass,"kindel parkimiskoht kinnistul,tasuta parkimine",,,,,,,,,,,
2521,,2.0,1.0,31.3,1.0,2.0,korteriomand,,52000.0,F,kivimaja,,,,1.0,,panipaik,,,,,,,,,,,,,,,,,,,,,
2522,renoveeritud,1.0,,16.6,1.0,5.0,,,62900.0,energiamärgis määramata,kivimaja,1987.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2523,renoveeritud,3.0,2.0,38.5,3.0,3.0,,"turvauks,trepikoda lukus",157500.0,energiamärgis määramata,puitmaja,1915.0,gaasiküte,"dušš,wc ja vannituba eraldi,saun,pesumasin",1.0,külmik,,elektripliit,internet,,,,,,,,,,704 m²,,,,,,,,,
2524,vajab kapitaalremonti,,,984.2,,2.0,korteriomand,,1990.0,energiamärgis määramata,kivimaja,1850.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,vajab renoveerimist,2.0,2.0,46.2,4.0,5.0,korteriomand,"turvauks,turvasüsteem,trepikoda lukus",91000.0,E,paneelmaja,,keskküte,,1.0,mööbli võimalus,,elektripliit,,14.0,,,,,,kinnine rõdu,,,,,,,,,,,,
2526,uusehitis,4.0,3.0,77.3,14.0,18.0,korteriomand,"trepikoda lukus,turvauks",359900.0,C,paneelmaja,2022.0,"põrandaküte,keskküte",dušš,2.0,,panipaik,,"internet,kaabel-TV",,,,,,jah,rõdu,,,,,,,,,jah,,,
2527,uusehitis,3.0,2.0,65.7,13.0,18.0,korteriomand,"trepikoda lukus,turvauks",324900.0,C,paneelmaja,2022.0,"põrandaküte,keskküte",dušš,1.0,,panipaik,,"kaabel-TV,internet",,,,,,jah,rõdu,,,,,,,,,jah,,,
2528,uusehitis,4.0,2.0,77.3,12.0,18.0,korteriomand,"trepikoda lukus,turvauks",329900.0,C,paneelmaja,2022.0,"põrandaküte,keskküte",dušš,2.0,,panipaik,,"internet,kaabel-TV",,,,,,jah,rõdu,,,,,,,,,jah,,,
2529,uusehitis,4.0,2.0,77.3,11.0,18.0,korteriomand,"trepikoda lukus,turvauks",329900.0,C,paneelmaja,2022.0,"põrandaküte,keskküte",dušš,2.0,,panipaik,,"internet,kaabel-TV",,,,,,jah,rõdu,,,,,,,,,jah,,,
2530,uusehitis,4.0,3.0,77.3,7.0,18.0,korteriomand,"trepikoda lukus,turvauks",279900.0,C,paneelmaja,2022.0,"põrandaküte,keskküte",dušš,2.0,,panipaik,,"internet,kaabel-TV",,,,,,jah,rõdu,,,,,,,,,jah,,,
2531,uusehitis,3.0,2.0,65.7,10.0,18.0,korteriomand,"trepikoda lukus,turvauks",304900.0,C,paneelmaja,2022.0,"põrandaküte,keskküte",dušš,1.0,,panipaik,,"kaabel-TV,internet",,,,,,jah,rõdu,,,,,,,,,jah,,,
2532,vajab renoveerimist,2.0,,40.9,1.0,4.0,korteriomand,"turvauks,trepikoda lukus",68000.0,,kivimaja,1965.0,keskküte,"vann,pesumasin,boiler",1.0,,kelder,,,,,,,,,,tasuta parkimine,eterniit,,,,,,,,,,
2533,renoveeritud,3.0,2.0,87.2,3.0,5.0,korteriomand,,285000.0,C,paneelmaja,2015.0,,,1.0,,panipaik,elektripliit,,,,,,,,rõdu,,,,,,,,,,,,
2534,,2.0,1.0,41.8,4.0,5.0,korteriomand,"turvauks,videokaamerad,turvasüsteem,trepikoda lukus",115000.0,E,kivimaja,1961.0,keskküte,"tsentraalne kanalisatsioon,dušš",1.0,,kelder,,,,,,,,,,kindel parkimiskoht kinnistul,bituumen,,,,,,,,,,
2535,valmis,2.0,1.0,51.6,2.0,6.0,korteriomand,trepikoda lukus,219000.0,,kivimaja,2003.0,"gaasiküte,keskküte",,,,,elektripliit,,,,,,16151201,,,,,2553 m²,,,,,,,,,
2536,"renoveeritud,valmis",4.0,3.0,107.8,4.0,5.0,korteriomand,,64000.0,F,paneelmaja,1970.0,keskküte,"vann,wc ja vannituba eraldi,dušš,pesumasin,boiler,tsentraalne kanalisatsioon",1.0,mööbli võimalus,"kelder,panipaik,garderoob",elektripliit,"internet,telefon,digi-TV",6.0,,,,,,rõdu,"tasuta parkimine,kindel parkimiskoht kinnistul",,,,,,,,,,,
2537,uus viimistlus,4.0,3.0,133.0,8.0,8.0,,turvauks,375000.0,D,kivimaja,2008.0,keskküte,dušš,1.0,,,,internet,0.0,,,,,,,,,,,,,,,,,,
2538,valmis,3.0,2.0,64.5,,8.0,korteriomand,"naabrivalve,videokaamerad,trepikoda lukus",169000.0,C,kivimaja,2015.0,"keskküte,põrandaküte","dušš,pesumasin",,külmik,,elektripliit,"kaabel-TV,telefon,internet",4.6,,,,,jah,rõdu,,,,,,,,,,,,
2539,vajab renoveerimist,2.0,1.0,47.1,2.0,5.0,korteriomand,"trepikoda lukus,turvauks",38000.0,D,paneelmaja,,keskküte,"vann,pesumasin,tsentraalne kanalisatsioon",1.0,,,elektripliit,,4.0,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,
2540,vajab kapitaalremonti,1.0,1.0,16.0,3.0,4.0,korteriomand,,49900.0,,kivimaja,,keskküte,tsentraalne kanalisatsioon,,,,,"internet,digi-TV",,,,,,,,,,,,,,,,,,,
2541,,3.0,2.0,71.2,3.0,6.0,korteriomand,trepikoda lukus,325000.0,C,kivimaja,2014.0,keskküte,"vann,dušš",1.0,"mööbel,külmik",kelder,elektripliit,"internet,kaabel-TV",,,,,,,,,,,,,,,,,,,
2542,uusehitis,2.0,1.0,45.6,3.0,3.0,korteriomand,"turvauks,trepikoda lukus",193900.0,A,kivimaja,2022.0,"keskküte,põrandaküte","dušš,vann",,,,,,4.5,,,,,jah,rõdu,,,,,,,,,,,,
2543,uusehitis,2.0,1.0,45.6,3.0,3.0,korteriomand,"turvauks,trepikoda lukus",193900.0,A,kivimaja,2022.0,"keskküte,põrandaküte","dušš,vann",,,,,,4.5,,,,,jah,rõdu,,,,,,,,,,,,
2544,uusehitis,,,88.9,3.0,3.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",299900.0,A,kivimaja,2022.0,"gaasiküte,põrandaküte","dušš,wc ja vannituba eraldi,vann,saun",,,,,,9.1,,,,,jah,rõdu,,,,,,,,,,,,
2545,uusehitis,3.0,2.0,65.2,1.0,3.0,korteriomand,"turvauks,trepikoda lukus",249900.0,A,kivimaja,2022.0,"keskküte,põrandaküte","dušš,vann",,,,,,9.1,,,,,jah,rõdu,,,,,,,,,,,,
2546,uusehitis,4.0,3.0,85.5,1.0,3.0,korteriomand,"turvauks,trepikoda lukus",302900.0,A,kivimaja,2022.0,"keskküte,põrandaküte","dušš,vann",,,,,,23.5,,,,,jah,rõdu,,,,,,,,,,,,
2547,uusehitis,2.0,1.0,45.6,2.0,3.0,korteriomand,"turvauks,trepikoda lukus",189900.0,A,kivimaja,2022.0,"keskküte,põrandaküte",dušš,,,,,,4.6,,,,,jah,rõdu,,,,,,,,,,,,
2548,valmis,4.0,3.0,118.9,2.0,3.0,korteriomand,"turvauks,trepikoda lukus",535000.0,D,kivimaja,2014.0,"kamin,põrandaküte","dušš,wc ja vannituba eraldi,vann,saun,pesumasin",,külmik,,,internet,2.2,,,,,,rõdu,,,,,,,,,,,,
2549,uusehitis,2.0,1.0,42.3,2.0,3.0,korteriomand,"turvauks,trepikoda lukus",186900.0,A,kivimaja,2022.0,"keskküte,põrandaküte",dušš,,,,,,4.6,,,,,jah,rõdu,,,,,,,,,,,,
2550,uusehitis,3.0,2.0,67.2,3.0,3.0,korteriomand,"turvauks,trepikoda lukus",253900.0,A,kivimaja,,"keskküte,põrandaküte",dušš,,,,,,9.1,,,,,jah,rõdu,,,,,,,,,,,,
2551,uusehitis,3.0,2.0,64.9,1.0,3.0,korteriomand,"turvauks,trepikoda lukus",248900.0,A,kivimaja,2022.0,"keskküte,põrandaküte",vann,,,,,,21.1,,,,,jah,rõdu,,,,,,,,,,,,
2552,uusehitis,2.0,1.0,45.6,2.0,,korteriomand,"turvauks,trepikoda lukus",189900.0,A,kivimaja,2022.0,"keskküte,põrandaküte",,,,,,,4.5,,,,,jah,rõdu,,,,,,,,,,,,
2553,uusehitis,2.0,1.0,45.6,3.0,3.0,korteriomand,"turvauks,trepikoda lukus",193900.0,A,kivimaja,2022.0,"keskküte,põrandaküte",dušš,,,,,,4.6,,,,,jah,rõdu,,,,,,,,,,,,
2554,valmis,2.0,1.0,56.1,1.0,3.0,korteriomand,trepikoda lukus,139000.0,energiamärgis määramata,kivimaja,1961.0,keskküte,"vann,pesumasin,wc ja vannituba eraldi",,külmik,,,,,,,,,,,,,,,,,,,,,,
2555,uusehitis,2.0,1.0,45.6,2.0,3.0,korteriomand,"turvauks,trepikoda lukus",189900.0,A,kivimaja,2022.0,"keskküte,põrandaküte",dušš,,,,,,4.6,,,,,jah,rõdu,,,,,,,,,,,,
2556,uusehitis,3.0,2.0,67.2,1.0,3.0,korteriomand,"turvauks,trepikoda lukus",256900.0,A,kivimaja,2023.0,"keskküte,põrandaküte","dušš,vann",,,,,,42.0,,,,,jah,rõdu,,,,,,,,,,,,
2557,valmis,1.0,,30.9,3.0,3.0,korteriomand,"turvauks,trepikoda lukus",169950.0,D,kivimaja,2015.0,"keskküte,põrandaküte",,,,,,internet,,,,,,,,,,,,,,,,,,,
2558,vajab kapitaalremonti,3.0,2.0,73.7,1.0,2.0,korteriomand,,180000.0,energiamärgis määramata,puitmaja,1910.0,"elektriküte,kamin","dušš,saun,boiler",,,,,,,,,,,,,,,,,,,,,,,,
2559,valmis,3.0,2.0,94.5,3.0,5.0,korteriomand,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",329000.0,B,,2020.0,maaküte,"dušš,wc ja vannituba eraldi,pesumasin",,"mööbel,külmik",,,"kaabel-TV,telefon,internet",,,200.0,300.0,,jah,,,,,,,,,,,,,
2560,uusehitis,3.0,2.0,65.3,3.0,4.0,korteriomand,"turvauks,trepikoda lukus",235000.0,energiamärgis määramata,kivimaja,2019.0,"keskküte,gaasiküte","dušš,pesumasin",,"mööbel,külmik",,,"kaabel-TV,internet",2.8,,150.0,250.0,,,rõdu,,,,,,,,,,,,
2561,,2.0,1.0,60.9,8.0,8.0,korteriomand,"trepikoda lukus,turvauks",173000.0,energiamärgis määramata,paneelmaja,2006.0,keskküte,"vann,pesumasin,dušš",,"mööbel,mööbli võimalus",,elektripliit,"internet,digi-TV,telefon",,,,,,jah,,parkimiskoht maa-aluses garaažis,,,,,,,,,,,
2562,renoveeritud,3.0,,44.4,4.0,5.0,,trepikoda lukus,149950.0,F,kivimaja,,keskküte,,,mööbel,panipaik,,,,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,
2563,renoveeritud,4.0,,47.1,5.0,5.0,,trepikoda lukus,144950.0,E,paneelmaja,,keskküte,,,mööbel,panipaik,,internet,,,,,,,rõdu,tasuta parkimine,,,,,,,,,,,
2564,valmis,3.0,2.0,71.1,1.0,5.0,korteriomand,"turvauks,trepikoda lukus",200000.0,energiamärgis määramata,kivimaja,1971.0,keskküte,"wc ja vannituba eraldi,pesumasin",1.0,"mööbel,mööbli võimalus,külmik",kelder,elektripliit,"internet,kaabel-TV",,,,,,,,,,,,,jah,,1.0,,,,
2565,renoveeritud,3.0,,43.1,5.0,,,trepikoda lukus,151950.0,D,paneelmaja,,keskküte,,,mööbel,,,,,,,,,jah,kinnine rõdu,tasuta parkimine,,,,,,,,,,,
2566,renoveeritud,4.0,,65.7,5.0,9.0,,trepikoda lukus,184950.0,E,paneelmaja,,keskküte,,,mööbel,,,,,,,,,jah,kinnine rõdu,tasuta parkimine,,,,,,,,,,,
2567,vajab renoveerimist,2.0,2.0,47.5,1.0,5.0,korteriomand,"turvauks,trepikoda lukus",104900.0,D,kivimaja,1966.0,keskküte,"vann,pesumasin",,"mööbel,külmik",,gaasipliit,,,,55.0,150.0,,,,,,,,,,,,,,,
2568,vajab kapitaalremonti,2.0,1.0,50.0,30.0,30.0,korteriomand,"naabrivalve,videokaamerad,trepikoda lukus",320000.0,energiamärgis määramata,paneelmaja,2006.0,keskküte,"dušš,pesumasin",,külmik,,elektripliit,"kaabel-TV,telefon,internet",,,,,,jah,,,,,,,,,,,,,
2569,uusehitis,4.0,3.0,141.4,,2.0,korteriomand,,350000.0,A,puitmaja,2022.0,"põrandaküte,maaküte","dušš,wc ja vannituba eraldi,saun,boiler",,mööbel,,,internet,,,,,21480450,,,,,,,,,,,,,,
2570,uusehitis,5.0,4.0,146.1,,2.0,korteriomand,,375000.0,A,kivimaja,2023.0,"põrandaküte,maaküte","dušš,wc ja vannituba eraldi,saun,boiler",,,,,internet,,,,,,,,,,,,,,,,,,,
2571,uusehitis,3.0,2.0,65.7,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",245000.0,energiamärgis määramata,kivimaja,2019.0,"keskküte,põrandaküte","dušš,vann,pesumasin",,"mööbel,külmik",,,"internet,kaabel-TV",6.9,,,,,jah,rõdu,,,,,,,,,,,,
2572,uusehitis,5.0,4.0,146.1,,2.0,korteriomand,,355000.0,A,kivimaja,2023.0,"põrandaküte,maaküte","dušš,wc ja vannituba eraldi,saun,boiler",,,,,internet,,,,,,,,garaaž,,,,,,,,,,,
2573,vajab kapitaalremonti,3.0,2.0,50.1,2.0,4.0,korteriomand,trepikoda lukus,118400.0,G,kivimaja,1941.0,,,,,,puupliit,"kaabel-TV,internet",,,,,,,,,,,,,,,,,,,
2574,uusehitis,3.0,2.0,65.2,2.0,8.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",219900.0,,,2017.0,keskküte,vann,,"mööbel,külmik",,elektripliit,,6.5,,,,,jah,rõdu,,,,,,,,,,,,
2575,uusehitis,2.0,,46.9,2.0,3.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",186000.0,A,kivimaja,2022.0,põrandaküte,dušš,,mööbel,,,,4.6,,,,,jah,rõdu,garaaž,,,,,,,,,,,
2576,vajab renoveerimist,3.0,,66.4,3.0,5.0,korteriomand,trepikoda lukus,125000.0,E,paneelmaja,1983.0,keskküte,"wc ja vannituba eraldi,vann,pesumasin",,mööbel,,,"kaabel-TV,telefon,internet",6.0,,,,,,rõdu,,,,,,,,,,,,
2577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,uusehitis,3.0,2.0,64.2,9.0,14.0,korteriomand,"trepikoda lukus,videokaamerad,turvauks",229000.0,C,,2019.0,keskküte,"pesumasin,vann,wc ja vannituba eraldi",,"mööbel,külmik",,elektripliit,"internet,kaabel-TV",,,,,,jah,,garaaž,,,,,,,,,,,
2579,vajab renoveerimist,3.0,2.0,90.1,2.0,3.0,korteriomand,"turvauks,trepikoda lukus",246000.0,,,2006.0,keskküte,"wc ja vannituba eraldi,vann,pesumasin",,"mööbel,külmik",,,"kaabel-TV,internet",15.9,,,,,,rõdu,,,,,,,,,,,,
2580,valmis,3.0,2.0,107.4,1.0,4.0,korteriomand,"turvauks,trepikoda lukus,naabrivalve",279000.0,,,2016.0,keskküte,"pesumasin,vann,wc ja vannituba eraldi",,"mööbel,külmik",,elektripliit,"internet,kaabel-TV",,,,,,,,,,,,,,,,,,,
2581,vajab kapitaalremonti,1.0,1.0,32.8,2.0,9.0,korteriomand,"turvauks,trepikoda lukus,videokaamerad",81000.0,,,1988.0,keskküte,vann,,,,,,,,,,,jah,,,,,,,,,,,,,
2582,valmis,2.0,1.0,65.4,5.0,8.0,korteriomand,"videokaamerad,turvauks,trepikoda lukus",218000.0,B,,2016.0,keskküte,"pesumasin,dušš",,"mööbel,külmik",,elektripliit,"kaabel-TV,internet",,,75.0,140.0,,jah,,,,,,,,,,,,,
2583,vajab kapitaalremonti,2.0,2.0,47.6,1.0,5.0,korteriomand,"turvauks,trepikoda lukus",115000.0,,,1974.0,keskküte,dušš,,,,,,,,,,10438801,,,,,,,,,,,,,,
2584,valmis,2.0,,47.2,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",33000.0,energiamärgis määramata,kivimaja,1982.0,,"wc ja vannituba eraldi,vann,pesumasin",,"mööbli võimalus,TV,külmik",,,"internet,kaabel-TV",,,,,,,"kinnine rõdu,rõdu",,,,Added_to_price,http://www.arcovara.ee/319939,,,,,,,
2585,valmis,2.0,1.0,40.0,2.0,2.0,korteriomand,trepikoda lukus,180000.0,,kivimaja,2003.0,keskküte,"dušš,pesumasin",,külmik,,elektripliit,internet,,,100.0,150.0,,,,,,,,,,,,,,,
2586,,2.0,1.0,37.2,3.0,4.0,korteriomand,"turvauks,trepikoda lukus",105000.0,D,,1961.0,keskküte,dušš,,,,gaasipliit,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,,,,,,
2587,renoveeritud,2.0,1.0,46.2,3.0,5.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",129900.0,D,kivimaja,1981.0,keskküte,vann,,mööbel,,elektripliit,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,,,,,,
2588,renoveeritud,2.0,1.0,37.6,1.0,4.0,korteriomand,"turvauks,trepikoda lukus",119500.0,F,kivimaja,1960.0,keskküte,"dušš,pesumasin",,"mööbel,külmik",,gaasipliit,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,,,,,,
2589,uusehitis,3.0,2.0,71.4,3.0,3.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",218000.0,B,kivimaja,2017.0,keskküte,"wc ja vannituba eraldi,vann",,,,elektripliit,"kaabel-TV,telefon,internet",6.6,,,,,jah,rõdu,,,,,,,,,,,,
2590,uusehitis,3.0,2.0,71.4,3.0,3.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",218000.0,energiamärgis määramata,kivimaja,2017.0,keskküte,"wc ja vannituba eraldi,vann",,,,elektripliit,"kaabel-TV,telefon,internet",6.6,,,,,jah,rõdu,,,,,,,,,,,,
2591,renoveeritud,2.0,,33.4,1.0,3.0,korteriomand,"naabrivalve,trepikoda lukus",116900.0,energiamärgis määramata,,1897.0,"elektriküte,põrandaküte","dušš,boiler,pesumasin",,"mööbel,külmik",,elektripliit,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,,,,,,
2592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,,1.0,,32.8,7.0,9.0,korteriomand,"turvauks,trepikoda lukus",83900.0,D,paneelmaja,1985.0,,"vann,pesumasin",,külmik,,elektripliit,kaabel-TV,0.0,,,,,jah,rõdu,,,,,,,,,,,,
2594,valmis,2.0,1.0,44.2,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",118900.0,D,paneelmaja,1963.0,keskküte,"vann,pesumasin",,"mööbel,külmik",,gaasipliit,"kaabel-TV,internet",1.0,,85.0,170.0,,,rõdu,,,,,,,,,,,,
2595,valmis,2.0,1.0,60.0,4.0,5.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",274000.0,E,kivimaja,2003.0,"keskküte,põrandaküte","vann,pesumasin",,"mööbel,külmik",,,"kaabel-TV,internet",3.1,,150.0,230.0,,jah,rõdu,,,,,,,,,,,,
2596,,2.0,,29.1,1.0,2.0,korteriomand,trepikoda lukus,115000.0,energiamärgis määramata,puitmaja,1900.0,,,,mööbel,,,,,,,,,,,,,,,,,,,,,,
2597,valmis,4.0,3.0,89.6,3.0,3.0,korteriomand,"turvauks,trepikoda lukus",,F,kivimaja,1956.0,,"vann,boiler,pesumasin",,külmik,,gaasipliit,,,,,,,,,,,,,,,,,,,,
2598,vajab renoveerimist,4.0,3.0,79.7,4.0,9.0,korteriomand,"videokaamerad,turvauks,trepikoda lukus",150000.0,D,paneelmaja,1987.0,keskküte,"wc ja vannituba eraldi,vann,pesumasin",,"mööbel,külmik",,,"kaabel-TV,internet",,,145.0,230.0,,jah,,,,,,,,,,,,,
2599,,2.0,1.0,41.8,2.0,2.0,kaasomand,"turvauks,trepikoda lukus",129000.0,energiamärgis määramata,puitmaja,1900.0,"kamin,õhksoojuspump","vann,boiler,pesumasin",,"mööbel,külmik",,puupliit,"telefon,internet",,,,,,,,,,,,,,kliimaseade,,,,,
2600,valmis,4.0,3.0,130.0,1.0,3.0,korteriomand,turvauks,429000.0,energiamärgis määramata,,,keskküte,"dušš,wc ja vannituba eraldi,vann,saun",,külmik,,,internet,8.0,,,,,,rõdu,,,,,,,kliimaseade,,,,,
2601,,2.0,1.0,40.6,5.0,5.0,,trepikoda lukus,110000.0,D,kivimaja,1965.0,keskküte,vann,,"mööbel,külmik",,gaasipliit,"kaabel-TV,internet",,,,,,,,,,,,,,,,,,,
2602,vajab kapitaalremonti,1.0,,33.0,7.0,9.0,korteriomand,trepikoda lukus,,D,paneelmaja,1976.0,keskküte,"vann,pesumasin",,,,elektripliit,,0.0,,,,,jah,rõdu,,,,,,,,,,,,
2603,vajab kapitaalremonti,2.0,1.0,45.0,,5.0,korteriomand,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",115000.0,D,paneelmaja,1969.0,keskküte,vann,,,,,"kaabel-TV,telefon,internet",3.0,,,,,,rõdu,,,,,,,,,,,,
2604,uusehitis,2.0,,58.4,8.0,8.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",215990.0,C,kivimaja,2018.0,keskküte,"dušš,vann,pesumasin",,"mööbel,külmik",,,"kaabel-TV,telefon,internet",9.3,,100.0,170.0,,jah,rõdu,,,,,,,,,,,,
2605,vajab renoveerimist,1.0,1.0,32.8,3.0,5.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",86000.0,E,paneelmaja,1993.0,keskküte,vann,,külmik,,elektripliit,"kaabel-TV,internet",5.5,,58.0,87.0,,,rõdu,,,,,,,,,,,,
2606,vajab renoveerimist,2.0,1.0,51.2,5.0,9.0,korteriomand,,120000.0,D,paneelmaja,1983.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,"valmis,uus viimistlus,renoveeritud",3.0,2.0,75.1,2.0,3.0,korteriomand,"trepikoda lukus,videokaamerad,turvauks",225000.0,,betoonmaja,2007.0,"gaasiküte,põrandaküte,keskküte","tsentraalne kanalisatsioon,vann,pesumasin",1.0,mööbli võimalus,"panipaik,garderoob",elektripliit,"digi-TV,internet,telefon",12.1,,,,,,rõdu,"kindel parkimiskoht kinnistul,tasuta parkimine",bituumen,,,,,,,,,,
