,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Energiamärgis,Ehitusaasta,Lift,Küte,Sanitaar,Pliit,Vannitube,Turvasüsteem,Materjal,Side,Ventilatsioon,Omandiõigus,Lisanduvad kommunaalkulud,Lisanduvad kommunaalid,Parkimiskohti,tasuta parkimine,Lisaruumid,tasuline parkimine,Tagatisraha,Krunt,Kinnistu number,Maakleritasu,Parkimine,Katus,Piirangud,Lisainfo,maakond
27,"Päevalille tn 6,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,66.5,rõdu,6.40,13,17,"mööbel,külmik",990.0,,,B,2022,jah,"keskküte,põrandaküte","dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",paneelmaja,,,korteriomand,,,,,,,,,,,,,,,harju
28,"Kalaranna tn 8/9, Kalaranna kvartal,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,58.3,rõdu,4.20,4,5,"mööbel,külmik",990.0,,,B,2022,jah,põrandaküte,"dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",,,,korteriomand,,,,,,,,,,,,,,,harju
29,"Kalaranna tn 8/9, Kalaranna kvartal,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,55.0,rõdu,4.00,5,5,"mööbel,külmik",990.0,,,B,2022,jah,põrandaküte,"dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",,,,korteriomand,,,,,,,,,,,,,,,harju
30,"Raua tn 30, Kadriorg,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,1,,30.0,,,,3,"mööbel,külmik",440.0,,,energiamärgis määramata,1925,,"keskküte,kamin,põrandaküte","dušš,pesumasin",elektripliit,,"naabrivalve,turvauks,trepikoda lukus",puitmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
31,"vilde tee 67,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,44.7,rõdu,,4,5,,545.0,,,E,,,,,gaasipliit,1,,,,,,,,,,,,,,,,,,,,harju
32,"Pärnu mnt 131b,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"renoveeritud,valmis",2,1,48.0,rõdu,10.00,3,6,"mööbel,mööbli võimalus,külmik",650.0,,,E,2005,,"gaasiküte,põrandaküte","vann,pesumasin,tsentraalne kanalisatsioon",elektripliit,1,"trepikoda lukus,turvauks,naabrivalve",kivimaja,"digi-TV,internet,telefon",,korteriomand,,,,,"panipaik,garderoob",,650.00,,,650.00,"kindel parkimiskoht kinnistul,garaaž",bituumen,,,harju
33,"Sepa tn 24,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,76.1,,,3,5,,1350.0,,,B,2019,,,,,1,,paneelmaja,,,korteriomand,,,,,,,,,0,,,,,,harju
34,"Endla tn 31,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,48.7,,,4,4,"kinnine hoov,mööbel,külmik",600.0,120.00,180.00,D,1957,,keskküte,"dušš,pesumasin,tsentraalne kanalisatsioon",gaasipliit,1,trepikoda lukus,kivimaja,"telefon,internet,digi-TV",sundventilatsioon,korteriomand,,kõik kommunaalteenused,,,"panipaik,garderoob",,600.00,,,600.00,"tasuta parkimine,kindel parkimiskoht kinnistul",plekk,,,harju
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
36,"Tornimäe tn 7,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"renoveeritud,valmis,uus viimistlus",3,2,67.9,,,10,30,"mööbel,mööbli võimalus,külmik",990.0,130.00,220.00,energiamärgis määramata,2006,jah,"põrandaküte,keskküte","tsentraalne kanalisatsioon,pesumasin,dušš",elektripliit,1,"naabrivalve,trepikoda lukus,turvauks,turvamees",betoonmaja,"digi-TV,telefon,internet","kliimaseade,konditsioneer",korteriomand,,,,,garderoob,,1200.00,,,990.00,"tasuline parkimine,parkimiskoht maa-aluses garaažis",bituumen,,,harju
37,"Kalaranna tn 25, Kalamaja,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,48.8,rõdu,19.80,1,4,"mööbel,külmik",850.0,,,A,2021,jah,keskküte,"dušš,pesumasin",,,"naabrivalve,trepikoda lukus",kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
38,"Wismari tn 47a,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,47.1,,,1,3,"mööbel,külmik",1000.0,,,C,2021,,"keskküte,põrandaküte","dušš,vann,pesumasin",,,"naabrivalve,videokaamerad,trepikoda lukus",kivimaja,"telefon,internet",,korteriomand,,,,,,,,,18452150,,,,,,harju
39,"Paldiski mnt 19, Kassisaba,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,3,2,72.5,,,2,3,"mööbel,külmik",900.0,,,B,1940,,põrandaküte,"dušš,vann,pesumasin",,,"naabrivalve,trepikoda lukus",puitmaja,,,korteriomand,,,,,,,,,,,,,,,harju
40,"Paekaare tn 54,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,2,49.7,kinnine rõdu,,8,9,,625.0,,,D,1987,jah,keskküte,,elektripliit,1,,,"telefon,digi-TV,internet",,,,kõik kommunaalteenused,,,,,625.00,,,625.00,tasuta parkimine,,,,harju
41,"Paldiski mnt 19,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,2,71.6,,,1,3,"mööbel,külmik",990.0,,,B,2014,,põrandaküte,"vann,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",puitmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
42,"Tööstuse tn 47d,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,1,1,27.0,,,2,5,"mööbel,külmik",550.0,,,,2019,jah,"keskküte,põrandaküte","dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
43,"Kaera tn 22, Pelgulinn,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,72.5,,,4,5,"mööbel,külmik",695.0,,,C,1951,jah,keskküte,"dušš,pesumasin",,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
44,"Pärnu mnt 43b,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,55.1,rõdu,9.80,2,5,"mööbel,külmik",1290.0,,,B,2022,jah,"keskküte,põrandaküte","dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",paneelmaja,,,korteriomand,,,,,,,,,,,,,,,harju
45,"Pirita tee 28a, Pirita,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,4,3,151.0,rõdu,40.00,11,11,"mööbel,külmik",2400.0,,,D,2008,jah,gaasiküte,"dušš,wc ja vannituba eraldi,vann,saun,pesumasin",elektripliit,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",kliimaseade,korteriomand,,,,,,,,,,,,,,,harju
46,"Pikk tn 15,Vanalinn, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,2,86.1,,,2,3,"mööbel,külmik",900.0,100.00,270.00,energiamärgis määramata,1636,,"keskküte,kamin","dušš,vann,boiler,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
47,"Lai tn 43, Vanalinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,53.0,,,3,4,külmik,650.0,,,energiamärgis määramata,1850,,"elektriküte,kamin",vann,,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
48,"Aleviku põik 2,Jüri alevik, Rae vald, Harju maakond",2022-10-24,valmis,2,1,58.0,rõdu,25.00,1,3,"mööbel,külmik",650.0,80.00,150.00,,2008,,keskküte,"dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
49,"Pärnu mnt 33,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,92.4,rõdu,8.30,4,8,"mööbel,külmik",1250.0,,,B,2020,jah,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,vann",,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,"telefon,internet",,korteriomand,,,,,,,,,,,garaaž,,,,harju
50,"Pikaliiva tn 88, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,72.9,rõdu,7.60,3,3,"mööbel,külmik",750.0,,,E,2009,,keskküte,"dušš,wc ja vannituba eraldi,vann,saun,pesumasin",,,"naabrivalve,trepikoda lukus",kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
51,"Pajude pst 3,Laagri alevik, Saue vald, Harju maakond",2022-10-24,renoveeritud,1,1,32.6,,,2,3,"mööbel,TV,külmik",425.0,,,energiamärgis määramata,,,keskküte,dušš,elektripliit,,turvauks,kivimaja,internet,sundventilatsioon,korteriomand,,,,,kelder,,,,,,tasuta parkimine,,,,harju
52,"Uus-Tatari tn 4/2,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,33.0,,,1,2,"kinnine hoov,mööbel",490.0,40.00,90.00,energiamärgis määramata,,,"elektriküte,ahjuküte","boiler,tsentraalne kanalisatsioon,dušš,pesumasin",elektripliit,1,trepikoda lukus,puitmaja,internet,,,,,,,kelder,,490.00,,,,muu,plekk,,,harju
53,"Astangu tn 34, Õismäe,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,57.0,"rõdu,kinnine rõdu",6.00,5,5,"mööbel,TV,külmik",650.0,100.00,250.00,D,2004,,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",elektripliit,1,trepikoda lukus,paneelmaja,internet,,korteriomand,,"elekter,vesi,küte",,,,,800.00,,,,,bituumen,,,harju
54,"Mardi tn 6,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,45.6,klaasitud rõdu,,7,8,"mööbel,külmik",700.0,,,B,,jah,keskküte,,elektripliit,1,trepikoda lukus,kivimaja,,sundventilatsioon,korteriomand,,,,,,,750.00,,,,muu,,,,harju
55,"Energia tn 8a,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,"uus viimistlus,renoveeritud",2,,49.0,klaasitud rõdu,4.00,3,5,mööbli võimalus,639.0,,,,,,keskküte,,elektripliit,,"trepikoda lukus,turvauks",kivimaja,"internet,digi-TV",sundventilatsioon,,,,,,garderoob,,,,,,tasuta parkimine,,,,harju
56,"Õismäe tee 49,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,,50.0,,,5,5,"mööbel,TV,külmik",450.0,,,,,,,,,,"trepikoda lukus,naabrivalve,turvauks",,"telefon,internet,digi-TV",,,,,,,,,,,,,tasuta parkimine,,,,harju
57,"Sõle tn 3,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,48.8,,,3,5,,675.0,,,D,1964,,,,gaasipliit,1,,,,,korteriomand,,,,,,,,,0,,,,,,harju
58,"Virbi tn 18,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,"uus viimistlus,renoveeritud",5,4,79.7,kinnine rõdu,,5,9,"mööbel,mööbli võimalus,külmik",690.0,,,,,jah,keskküte,"pesumasin,dušš,vann,tsentraalne kanalisatsioon,wc ja vannituba eraldi",elektripliit,,"turvauks,trepikoda lukus",paneelmaja,"internet,digi-TV",,korteriomand,,,,,,,,,,,tasuta parkimine,,,,harju
