,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Energiamärgis,Ehitusaasta,Lift,Küte,Sanitaar,Pliit,Vannitube,Turvasüsteem,Materjal,Side,Ventilatsioon,Omandiõigus,Lisanduvad kommunaalkulud,Lisanduvad kommunaalid,Parkimiskohti,tasuta parkimine,Lisaruumid,tasuline parkimine,Tagatisraha,Krunt,Kinnistu number,Maakleritasu,Parkimine,Katus,Piirangud,Lisainfo,maakond
828,"Kroodi tn,Maardu linn, Harju maakond",2022-10-24,valmis,1,,20.0,,,2,3,"mööbel,TV,külmik",350.0,,,,,,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",elektripliit,1,turvauks,kivimaja,"digi-TV,internet",,kinnistu,,,,,,,,,,350.00,tasuta parkimine,,,,harju
829,"Kroodi tn,Maardu linn, Harju maakond",2022-10-24,,1,,20.0,,,2,3,"mööbel,TV,külmik",360.0,,,,,,keskküte,"tsentraalne kanalisatsioon,dušš,pesumasin",,,turvauks,kivimaja,internet,,kinnistu,,,,,,,,,,360.00,tasuta parkimine,,,,harju
830,"Künka tee 1,Assaku alevik, Rae vald, Harju maakond",2022-10-24,uusehitis,2,1,42.7,,,1,2,"mööbel,külmik",570.0,150.00,250.00,D,1970,,"kamin,põrandaküte,õhksoojuspump","dušš,pesumasin",elektripliit,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"telefon,internet,kaabel-TV",,korteriomand,,,,,,,570.00,,,,,,,,harju
831,"Kroodi tn,Maardu linn, Harju maakond",2022-10-24,valmis,1,,16.0,,,2,3,külmik,150.0,,,,,,keskküte,"tsentraalne kanalisatsioon,pesumasin,dušš,wc ja vannituba eraldi",elektripliit,,turvauks,kivimaja,internet,,kinnistu,,,,,,,150.00,,,150.00,tasuta parkimine,,,,harju
832,"Pirni tn 6A,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,,44.6,,,5,5,"mööbel,TV,külmik",450.0,,,,,,keskküte,"wc ja vannituba eraldi,tsentraalne kanalisatsioon,pesumasin",elektripliit,1,"turvauks,trepikoda lukus",paneelmaja,,,korteriomand,,kõik kommunaalteenused,,,garderoob,,,,,,tasuta parkimine,,,,harju
833,"Uus-Tatari tn 23,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,53.2,rõdu,,6,7,"mööbel,mööbli võimalus,külmik",690.0,,,D,2005,jah,keskküte,"vann,pesumasin,dušš",,,"naabrivalve,trepikoda lukus,turvauks",kivimaja,kaabel-TV,,korteriomand,,,,,panipaik,,,,18353401,,,,,,harju
834,"Energia tn,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,3,49.0,,,1,5,"mööbel,TV,külmik",550.0,,,,,,keskküte,,gaasipliit,1,,kivimaja,,,korteriomand,,kõik kommunaalteenused,,,,,550.00,,,550.00,tasuta parkimine,,,,harju
835,"Mooni tn 60, Kristiine,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,2,48.0,kinnine rõdu,3.00,7,9,"mööbel,külmik",450.0,,,,,jah,keskküte,,gaasipliit,1,,paneelmaja,,,korteriomand,,,,,,,450.00,,,450.00,tasuta parkimine,,,,harju
836,"Ahju tn 5, Südalinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,4,3,70.0,,,2,3,,900.0,,,energiamärgis määramata,,,,,elektripliit,1,,kivimaja,,,korteriomand,,,,,,,,,0,,,,,,harju
837,"Nõlvaku põik 10,Laagri alevik, Saue vald, Harju maakond",2022-10-24,valmis,3,1,69.7,rõdu,,3,3,,590.0,,,energiamärgis määramata,2007,,,,elektripliit,1,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
838,"Rotermanni tn 5, SÜDALINN,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"uusehitis,valmis,uus viimistlus",2,1,46.2,,,4,7,"mööbel,TV,külmik",750.0,,,energiamärgis määramata,2007,jah,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",elektripliit,1,"turvauks,trepikoda lukus",kivimaja,"digi-TV,internet",sundventilatsioon,korteriomand,,kõik kommunaalteenused,,,panipaik,,750.00,,,750.00,parkimiskoht maa-aluses garaažis,,,,harju
839,"Meleka tn 8, Lilleküla,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,35.5,,,1,2,"kinnine hoov,mööbel,külmik",490.0,,,energiamärgis määramata,1962,,elektriküte,"tsentraalne kanalisatsioon,vann,boiler",elektripliit,1,trepikoda lukus,kivimaja,,,korteriomand,,kõik kommunaalteenused,,,panipaik,,490.00,,,490.00,tasuta parkimine,eterniit,,,harju
840,"Puuvilla tn 7-33, Sitsi,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,2,63.3,,,1,5,"mööbel,külmik",500.0,100.00,150.00,,,,keskküte,"vann,pesumasin",elektripliit,,"turvauks,trepikoda lukus",paneelmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
841,"Nõmme tee 19, Lilleküla,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,2,68.4,rõdu,4.00,9,9,"mööbel,külmik",700.0,,,E,,jah,gaasiküte,"dušš,pesumasin",elektripliit,,"turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
842,"Akadeemia tee 56,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,40.5,,,1,4,"mööbel,külmik",500.0,,,energiamärgis määramata,1964,,keskküte,"dušš,pesumasin",elektripliit,,"turvauks,trepikoda lukus",paneelmaja,"kaabel-TV,internet",,korteriomand,,,,,,,,,,,,,,,harju
843,"Raua tn 36, Kadriorg,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,3,,100.0,,,5,6,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
844,"Padriku tee 14/3,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,70.0,rõdu,20.00,2,3,"mööbli võimalus,külmik",750.0,,,,2007,,gaasiküte,"pesumasin,wc ja vannituba eraldi,vann",elektripliit,1,"trepikoda lukus,turvauks",kivimaja,"internet,digi-TV,telefon",sundventilatsioon,korteriomand,,,,,,,750.00,,,900.00,kindel parkimiskoht kinnistul,bituumen,,,harju
845,"Wismari tn 37/1,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,1,1,20.8,,,1,2,"mööbel,Lemmikloomad lubatud,TV,külmik",350.0,90.00,90.00,energiamärgis määramata,1940,,"ahjuküte,kamin,elektriküte","dušš,tsentraalne kanalisatsioon,boiler",elektripliit,1,trepikoda lukus,puitmaja,"digi-TV,internet",,korteriomand,,kõik kommunaalteenused,,,panipaik,,,,,420.00,kindel parkimiskoht kinnistul,plekk,,,harju
846,"Villardi tn 1a, Kassisaba,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,3,,79.5,,,3,3,,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
847,"Paljandi tn 2/2, Rocca al Mare,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,47.4,"klaasitud rõdu,rõdu",5.00,2,4,"mööbel,TV,külmik",650.0,,,,,,gaasiküte,"tsentraalne kanalisatsioon,dušš,pesumasin",elektripliit,1,"turvauks,trepikoda lukus",kivimaja,"internet,digi-TV,telefon",sundventilatsioon,korteriomand,,"kõik kommunaalteenused,elekter,vesi,küte",,,,,650.00,,,650.00,"parkimiskoht garaažis,tasuta parkimine",,,,harju
848,"Tartu mnt 16b, Maakri,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,4,2,109.7,rõdu,,7,10,,2000.0,,,G,2001,,,,,1,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
849,"Mustamäe tee 191,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,42.9,rõdu,,7,9,,520.0,,,E,1969,,,,elektripliit,1,,paneelmaja,,,,,,,,,,,,0,,,,,,harju
850,"Roseni tn 9, Sadama,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,4,,88.0,,,6,7,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
851,"Tööstuse tn 29, Kalamaja,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,50.8,,,1,1,mööbel,600.0,,,B,1906,,"elektriküte,gaasiküte","dušš,wc ja vannituba eraldi,saun,pesumasin",,,,puitmaja,,,korteriomand,,,,,,,,,,,,,,,harju
852,"Ranniku tee 48b, MERIVÄLJA,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,42.0,,,2,2,mööbel,600.0,,,energiamärgis määramata,1981,,,"dušš,wc ja vannituba eraldi,boiler,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,,,,0.00,,,,,,,,harju
853,"Printsu tee 5/2,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,53.5,rõdu,3.90,2,3,"mööbel,külmik",790.0,,,B,2020,,"keskküte,põrandaküte","vann,pesumasin",,,"turvauks,trepikoda lukus",kivimaja,internet,,korteriomand,,,,,,,790.00,,,,,,,,harju
854,"Printsu tee 5/2,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,2,53.5,rõdu,3.90,2,3,"mööbel,külmik",790.0,,,B,2020,,"keskküte,põrandaküte","vann,pesumasin",,,"turvauks,trepikoda lukus",kivimaja,internet,,korteriomand,,,,,,,790.00,,,,,,,,harju
855,"Rotermanni tn 14, ROTERMANNI KVARTAL,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,65.9,,,3,7,"mööbel,külmik",1300.0,,,,1904,jah,keskküte,"dušš,pesumasin",elektripliit,,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
856,"Supluse pst 1, Pirita rand,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,4,3,157.1,rõdu,20.00,2,5,,2900.0,,,,2007,jah,"keskküte,kamin,põrandaküte","dušš,wc ja vannituba eraldi,vann,saun,pesumasin",,,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
857,"Liivalaia tn 30,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,48.8,,,1,5,külmik,610.0,80.00,140.00,E,1959,,keskküte,"vann,pesumasin",,,"turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,,,,,630.00,,,,,,,,harju
858,"Lennu tn 30,Ämari alevik, Lääne-Harju vald, Harju maakond",2022-10-24,,2,,50.9,,,3,5,,249.0,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,harju
859,"Paide tn 9, Kitseküla,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,1,,21.0,,,2,3,,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
860,"SOODI 4,Kristiine linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,,85.0,rõdu,14.00,5,5,"mööbel,TV,külmik",950.0,,,B,,jah,keskküte,"tsentraalne kanalisatsioon,wc ja vannituba eraldi,dušš,pesumasin",,,"turvasüsteem,turvauks,trepikoda lukus",kivimaja,"internet,digi-TV",,,,,,,,,950.00,,,950.00,parkimiskoht maa-aluses garaažis,,,,harju
861,"Pikaliiva tn 93,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,2,72.9,rõdu,7.60,2,3,"mööbel,külmik",750.0,,,,2009,,"põrandaküte,gaasiküte","vann,saun,wc ja vannituba eraldi,pesumasin",elektripliit,,"turvauks,trepikoda lukus,naabrivalve",kivimaja,"internet,kaabel-TV,telefon",,korteriomand,,,,jah,panipaik,,,,,,,,,,harju
862,"Paldiski mnt 21, Kassisaba,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,3,2,97.2,rõdu,0.00,5,5,mööbel,1600.0,,,B,2020,jah,põrandaküte,"dušš,pesumasin",,,"turvauks,trepikoda lukus",kivimaja,,kliimaseade,korteriomand,,,,,garderoob,,,,,,garaaž,,,,harju
863,"Staapli 3,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,73.9,rõdu,9.00,4,6,"mööbel,külmik",1700.0,,,energiamärgis määramata,2019,jah,,"dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,,garderoob,,,,,,garaaž,,,,harju
864,"Staapli tn 3, Kalamaja,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,73.9,rõdu,9.00,4,6,"mööbel,külmik",1700.0,,,energiamärgis määramata,2019,jah,,"dušš,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,,,korteriomand,,,,,garderoob,,,,,,garaaž,,,,harju
865,"Ao tn 10, Kassisaba,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,49.7,,,1,3,"mööbel,külmik",580.0,,,energiamärgis määramata,1934,,gaasiküte,"dušš,pesumasin",elektripliit,,trepikoda lukus,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
866,"Pirita tee 28a,Kadriorg, Tallinn, Harju maakond",2022-10-24,,3,1,79.2,,,7,11,,1400.0,,,D,2008,jah,,"dušš,saun",elektripliit,,naabrivalve,paneelmaja,,kliimaseade,korteriomand,,,,,garderoob,,,,,,,,,,harju
867,"Kihnu tn 12,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,,32.8,rõdu,,3,5,mööbel,400.0,,,,,,keskküte,"vann,pesumasin",elektripliit,,"turvauks,trepikoda lukus",paneelmaja,,,korteriomand,,,,,,,,2434 m²,,,,,,,harju
868,"Kiikri tn 6/1, Kiikri Residentside elukvartal,Kadriorg, Tallinn, Harju maakond",2022-10-24,,4,3,109.5,,,1,5,"mööbel,külmik",2200.0,,,B,2022,jah,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,saun,pesumasin",,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",,,,korteriomand,,,,,,,,,,,garaaž,,,,harju
869,"Lai tn 2,Vanalinn, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,1,99.3,rõdu,4.60,5,5,külmik,1000.0,,,energiamärgis määramata,1920,,keskküte,"dušš,pesumasin",,,"naabrivalve,trepikoda lukus",kivimaja,,kliimaseade,korteriomand,,,,,,,,,,,,,,,harju
870,"Magasini tn 3j,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,79.1,rõdu,10.50,2,3,"mööbel,külmik",1500.0,,,B,2020,,"põrandaküte,õhksoojuspump","dušš,wc ja vannituba eraldi,vann,pesumasin",,,trepikoda lukus,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
871,"Vana-Kalamaja tn 41, Kalamaja,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,1,,34.6,,,3,4,"mööbel,külmik",650.0,,,B,2015,,keskküte,pesumasin,,,trepikoda lukus,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
872,"Tornimäe tänav 7-93,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,57.5,,,18,30,"mööbel,külmik",950.0,,,energiamärgis määramata,2006,jah,keskküte,"dušš,pesumasin",elektripliit,,"naabrivalve,trepikoda lukus",,,kliimaseade,,,,,,,,,,,,,,,,harju
873,"Uus tn 30,Vanalinn, Tallinn, Harju maakond",2022-10-24,valmis,2,1,68.8,,,2,2,"mööbel,külmik",1490.0,,,energiamärgis määramata,,,keskküte,"dušš,wc ja vannituba eraldi,vann",,,trepikoda lukus,kivimaja,internet,,korteriomand,,,,,,,,,,,,,,,harju
874,"Viru tn 9,Vanalinn, Tallinn, Harju maakond",2022-10-24,valmis,2,1,62.0,,,2,4,"mööbel,külmik",1100.0,,,energiamärgis määramata,,,elektriküte,"dušš,saun,pesumasin",,,trepikoda lukus,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
875,"Rataskaevu tn 6,Vanalinn, Tallinn, Harju maakond",2022-10-24,valmis,3,2,85.0,,,1,4,"mööbel,külmik",850.0,,,energiamärgis määramata,,,gaasiküte,"dušš,pesumasin,vann",,,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
876,"Pirita tee 28a, Pirita,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,,3,1,79.2,,,7,11,,1400.0,,,D,2008,jah,,"dušš,saun",elektripliit,,naabrivalve,paneelmaja,,kliimaseade,korteriomand,,,,,garderoob,,,,,,,,,,harju
877,"Tornimäe tn 7, Südalinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,57.7,,,18,30,külmik,950.0,,,energiamärgis määramata,2006,jah,keskküte,"dušš,pesumasin",elektripliit,,"naabrivalve,trepikoda lukus",,,kliimaseade,korteriomand,,,,,,,,,,,,,,,harju
878,"Aiandi tn 10/1,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,60.8,rõdu,3.50,4,8,,800.0,206.00,206.00,B,,jah,,,,,,,,,,,,,,,,,,,,,,,,harju
879,"Manufaktuuri tn 14-8, Manufaktuuri,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,37.1,,,2,7,,600.0,127.00,127.00,energiamärgis määramata,2019,jah,,,,,,,,,,,,,,,,,,12293950,,,,,,harju
880,"Aiandi tn 10/1-44,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,59.3,rõdu,41.20,8,8,,999.0,202.00,202.00,B,,jah,,,,,,,,,,,,,,,,,,,,,,,,harju
881,"Aiandi tn,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,48.1,rõdu,35.00,8,8,,799.0,164.00,164.00,B,,jah,,,,,,,,,,,,,,,,,,,,,,,,harju
882,"Manufaktuuri tn 14-19,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,37.3,,,5,7,,600.0,127.00,127.00,B,2019,,,,,,,,,,,,,,,,,,,3784250,,,,,,harju
883,"Aiandi tn,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,40.0,rõdu,3.00,,8,,600.0,136.00,136.00,B,,jah,,,,,,,,,,,,,,,,,,,,,,,,harju
884,"Aiandi tn,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,1,,27.8,rõdu,3.90,7,8,külmik,500.0,97.00,97.00,B,,jah,põrandaküte,"dušš,pesumasin",elektripliit,,,,,,korteriomand,,,,,,,,,,,,,,,harju
885,"Aiandi tn 10,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,41.9,rõdu,3.00,6,8,külmik,600.0,143.00,143.00,B,,jah,põrandaküte,"dušš,vann,pesumasin",elektripliit,,"videokaamerad,trepikoda lukus",,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
886,"Aiandi tn 10/1-46,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,4,3,77.3,rõdu,71.40,8,8,,1299.0,263.00,263.00,,,jah,,,,,,,,,,,,,,,,,,,,,,,,harju
887,"Tartu mnt 84a, Juhkentali,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,,3,,68.5,,,7,14,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
888,"Pelguranna tn 41, Pelguranna,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,39.2,,,2,4,,500.0,,,F,1961,,,,gaasipliit,1,,kivimaja,,,kinnistu,,,,,,,,,,,,,,,harju
889,"Vibu tn 6,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,,46.0,,,4,4,,750.0,,,B,2016,,,,,,,,,,korteriomand,,,,,,,,,,,,,,,harju
890,"Pune tee 18, Kose,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,,2,,63.4,,,3,3,,490.0,,,E,2004,,,,,1,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
891,"Vääna tn 7, HIIU,Nõmme linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,1,,59.2,,,2,4,"mööbli võimalus,külmik",500.0,,,energiamärgis määramata,2007,,keskküte,"tsentraalne kanalisatsioon,dušš,pesumasin",elektripliit,1,"videokaamerad,turvauks,trepikoda lukus",kivimaja,internet,kliimaseade,korteriomand,,kõik kommunaalteenused,,,,,500.00,,,500.00,"parkimiskoht maa-aluses garaažis,tasuta parkimine",,,,harju
892,"Tuulemaa tn 17,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,,2,1,39.0,,,3,4,,450.0,,,F,1963,,,,gaasipliit,1,,kivimaja,,,,,,,,,,,,0,,,,,,harju
893,"V. Reimani tn 7,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,2,1,60.3,,,4,5,,700.0,,,energiamärgis määramata,1956,,,,,1,,,,,korteriomand,,,,,,,,,0,,,,,,harju
894,"Rävala pst,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,77.9,,,4,5,"mööbel,külmik",750.0,,,,,,"keskküte,põrandaküte","dušš,tsentraalne kanalisatsioon,pesumasin,vann",gaasipliit,1,"trepikoda lukus,turvauks",kivimaja,,sundventilatsioon,,,"kõik kommunaalteenused,vesi,elekter,küte",,,,,750.00,,,750.00,,,,,harju
895,"Rotermanni tn 14, ROTERMANN CITY,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"renoveeritud,uus viimistlus,uusehitis",4,3,114.0,"prantsuse rõdu,rõdu",7.00,7,7,"eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus,Lemmikloomad lubatud,TV,külmik",2200.0,300.00,600.00,B,2017,jah,"põrandaküte,keskküte","dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,2,"videokaamerad,trepikoda lukus,turvamees,naabrivalve,turvasüsteem,turvauks",plokkmaja,"internet,telefon,digi-TV",,korteriomand,,,,,"kelder,panipaik,garderoob",,,,,,"parkimiskoht maa-aluses garaažis,tasuta parkimine",kivi,,,harju
896,"Moonalao tn 11,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,43.6,rõdu,,4,4,"mööbel,TV,külmik",750.0,,,B,2019,jah,"keskküte,gaasiküte","dušš,pesumasin",,1,"turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",,korteriomand,,,2,jah,,,,,,,,,,,harju
897,"Sõpruse pst 220, HEA ASUKOHT MUSTAMÄEL,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,,1,,60.2,,,1,5,"mööbel,külmik",190.0,,,F,,,keskküte,"wc ja vannituba eraldi,vann,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",,,,,,,,,,,,,,,,,,,harju
898,"Paadi tn 14a,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"uus viimistlus,uusehitis,valmis",3,2,76.0,,,4,6,"mööbel,TV,külmik",800.0,80.00,200.00,,2003,jah,keskküte,"tsentraalne kanalisatsioon,dušš,pesumasin",elektripliit,1,"trepikoda lukus,naabrivalve,videokaamerad,turvasüsteem,turvauks",kivimaja,"internet,digi-TV","kliimaseade,sundventilatsioon",korteriomand,,kõik kommunaalteenused,,,garderoob,,800.00,,,600.00,kindel parkimiskoht kinnistul,bituumen,,,harju
899,"Pirita tee 26F-100,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,3,2,127.0,rõdu,35.00,14,16,"mööbel,külmik",1500.0,171.00,371.00,B,2007,jah,"keskküte,õhksoojuspump","dušš,wc ja vannituba eraldi,vann,boiler,pesumasin",,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,telefon,internet",kliimaseade,korteriomand,,,,,,,1500.00,,,,garaaž,,,,harju
900,"Äigrumäe tee,Äigrumäe küla, Viimsi vald, Harju maakond",2022-10-24,renoveeritud,2,1,65.0,,,,2,"eraldi sissepääs,kinnine hoov,mööbel,TV,külmik",500.0,,,,2018,,"kombineeritud küte,elektriküte","saun,tsentraalne kanalisatsioon,pesumasin,dušš",elektripliit,1,,kivimaja,internet,sundventilatsioon,,,"elekter,küte,vesi",,,panipaik,,500.00,,,,kindel parkimiskoht kinnistul,,,,harju
901,"Lõime tn 16, Pelgurand,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,"valmis,renoveeritud",2,1,50.0,,,1,3,"mööbel,TV,külmik",700.0,,,E,1950,,keskküte,"dušš,pesumasin",elektripliit,1,trepikoda lukus,kivimaja,"digi-TV,internet",,korteriomand,,kõik kommunaalteenused,,,,,700.00,,,840.00,tasuta parkimine,,,,harju
902,"Lõime tn 16,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,"valmis,renoveeritud",2,1,50.0,,,1,3,"mööbel,TV,külmik",700.0,120.00,200.00,E,1950,,keskküte,"pesumasin,dušš",elektripliit,1,trepikoda lukus,kivimaja,,,korteriomand,,kõik kommunaalteenused,,,,,700.00,,,840.00,tasuta parkimine,,,,harju
903,"Pargi tee 5, Madalad kommunaalid,Peetri alevik, Rae vald, Harju maakond",2022-10-24,,2,1,52.7,prantsuse rõdu,,2,3,"Lemmikloomad lubatud,külmik",550.0,120.00,135.00,C,2006,,,"pesumasin,vann,tsentraalne kanalisatsioon",elektripliit,1,"trepikoda lukus,turvauks",kivimaja,"internet,telefon,digi-TV",,korteriomand,,kõik kommunaalteenused,,,garderoob,,,,,,"tasuta parkimine,kindel parkimiskoht kinnistul",,,,harju
904,"Kase tn 6,Tabasalu alevik, Harku vald, Harju maakond",2022-10-24,valmis,2,,44.0,rõdu,,2,3,"mööbel,külmik",435.0,,,C,1971,,,dušš,,,trepikoda lukus,,,,korteriomand,Added_to_price,,,,panipaik,,,,,,,,,http://www.arcovara.ee/319974,harju
905,"Uuspere tee 4, Tiskre,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-24,,3,2,62.4,,,3,3,,800.0,,,B,2020,,,,,1,,kivimaja,,,korteriomand,,,,,,,,,,,,,,,harju
906,"Sõpruse pst 257, Mustamäe,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,2,1,50.6,prantsuse rõdu,,6,8,"mööbel,mööbli võimalus,TV,külmik",600.0,80.00,180.00,,2003,jah,keskküte,"pesumasin,tsentraalne kanalisatsioon,dušš,vann",elektripliit,1,"naabrivalve,trepikoda lukus",betoonmaja,"digi-TV,internet",sundventilatsioon,korteriomand,,kõik kommunaalteenused,,,,,600.00,,,600.00,tasuta parkimine,,,,harju
907,"Padriku tee 12/2,Pirita linnaosa, Tallinn, Harju maakond",2022-10-24,uus viimistlus,2,1,54.2,rõdu,10.90,3,3,külmik,690.0,,,energiamärgis määramata,2008,,keskküte,"pesumasin,wc ja vannituba eraldi,dušš",,1,"turvauks,trepikoda lukus,naabrivalve",kivimaja,internet,,,,,,,,,,,,,,,,,harju
908,"Orase tn 7,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-24,uus viimistlus,2,1,32.1,,,1,2,"mööbel,külmik",520.0,,,,1946,,"elektriküte,ahjuküte","dušš,wc ja vannituba eraldi,pesumasin",,1,"naabrivalve,trepikoda lukus",puitmaja,internet,,kaasomand,,,,,,,,724 m²,,,,,,,harju
