,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Katus,Küte,Pliit,Side,Ventilatsioon,Rõdu,Rõdu pind,Omandiõigus,Lisanduvad kommunaalid,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Maakleritasu,Kinnistu number,Parkimine,Lisaruumid,Sanitaar,Lisainfo,Piirangud,Krunt,Lisanduvad kommunaalkulud,tasuline parkimine,tasuta parkimine,maakond
300,"Vanalinn Pagari 1, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,2,118.0,4,6,,,2400.0,energiamärgis määramata,kivimaja,,,,,,,,,,korteriomand,,,,,,0,,,,,,,,,,harju
301,"Liivaoja tn 10, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2023-01-13,valmis,2,1,1,57.0,2,4,alarmsüsteem,"mööbel,TV,külmik",1000.0,,kivimaja,2006,jah,,keskküte,,,,,,korteriomand,"elekter,vesi,küte",,,,,,,panipaik,"dušš,saun,pesumasin",,,,,,,harju
302,"Pallasti tn 33, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,1,1,1,16.3,1,5,"turvauks,trepikoda lukus","mööbel,külmik",325.0,,kivimaja,1998,,,keskküte,elektripliit,internet,,,,korteriomand,,,,,,,,,"boiler,dušš,pesumasin",,,,,,,harju
303,"Kalju tn, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,san remont tehtud,2,,1,37.0,2,2,,,400.0,energiamärgis määramata,puitmaja,,,,,puupliit,,,,,kinnistu,,,,,,0,,panipaik,,,,,,,,harju
304,"J. Kunderi tn 32/1, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,renoveeritud,2,,,36.8,2,2,trepikoda lukus,mööbel,620.0,energiamärgis määramata,,1940,,,"elektriküte,kamin",,,,,,,,,,,,,,kelder,"dušš,wc ja vannituba eraldi,pesumasin",,,,,,,harju
305,"Sipelga tn 3, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,,44.9,6,8,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",650.0,B,kivimaja,2016,jah,,keskküte,elektripliit,"kaabel-TV,telefon,internet",,rõdu,10.00,korteriomand,,60.00,160.00,650.00,,,,panipaik,"dušš,pesumasin",,,,,,,harju
306,"Katleri tn 1, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,,64.9,5,9,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",600.0,C,paneelmaja,1992,jah,,keskküte,elektripliit,"kaabel-TV,telefon,internet",,,,korteriomand,,80.00,180.00,600.00,,,,panipaik,"wc ja vannituba eraldi,vann,pesumasin",,,,,,,harju
307,"Kiisa tn 8, Kitseküla, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,1,,,36.0,3,3,,"mööbel,külmik",450.0,,kivimaja,1990,,,keskküte,,,,,,,,,,,,7514150,,,"dušš,pesumasin",,,,,,,harju
308,"Linnamäe tee 85, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,,2,2,1,49.0,3,9,,"mööbel,TV,külmik",470.0,E,paneelmaja,,jah,,keskküte,,"internet,digi-TV",,rõdu,6.00,,kõik kommunaalteenused,,,470.00,470.00,,,,"pesumasin,wc ja vannituba eraldi,vann,tsentraalne kanalisatsioon",,,,,,,harju
309,"Pihlaka tn 14, Nõmme linnaosa, Tallinn, Harju maakond","Nõmme linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,2,2,1,46.1,2,5,"trepikoda lukus,naabrivalve","mööbel,TV,külmik",430.0,,,1970,,,,elektripliit,,,,2.80,korteriomand,,,,430.00,430.00,,tasuta parkimine,,"pesumasin,vann,tsentraalne kanalisatsioon,wc ja vannituba eraldi",,,,,,,harju
310,"Arbu tn 11, Lagna, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2023-01-13,,3,3,1,66.0,5,5,,"mööbel,TV,külmik",500.0,,paneelmaja,,,,"keskküte,põrandaküte",,,,kinnine rõdu,2.00,,,,,500.00,500.00,,tasuta parkimine,garderoob,,,,,,,,harju
