,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Küte,Pliit,Side,Ventilatsioon,Rõdu,Omandiõigus,Lisanduvad kommunaalid,Tagatisraha,Parkimine,Lisaruumid,Sanitaar,Lisanduvad kommunaalkulud,Parkimiskohti,tasuta parkimine,Rõdu pind,tasuline parkimine,Suve kommunaalid,Talve kommunaalid,Krunt,Kinnistu number,Maakleritasu,Katus,Piirangud,Lisainfo,maakond
177,"Puhke tn 3, puhke, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,4,3,1,120.0,3,4,"trepikoda lukus,naabrivalve,turvasüsteem,turvauks","kinnine hoov,mööbel,TV,külmik",970.0,energiamärgis määramata,palk-kivimaja,,,"keskküte,põrandaküte,kamin",elektripliit,,,terrass,korteriomand,kõik kommunaalteenused,970.00,kindel parkimiskoht kinnistul,"kelder,panipaik","saun,tsentraalne kanalisatsioon,vann,pesumasin,dušš,boiler",,,,30.00,,,,,,,plekk,,,harju
178,"Narva mnt 38, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"renoveeritud,valmis,uus viimistlus",4,3,1,76.0,4,6,"trepikoda lukus,turvauks","kinnine hoov,mööbli võimalus,TV,külmik",1190.0,energiamärgis määramata,kivimaja,1982,jah,keskküte,elektripliit,,,,korteriomand,kõik kommunaalteenused,2800.00,parkla,panipaik,"vann,wc ja vannituba eraldi,pesumasin,tsentraalne kanalisatsioon,dušš",,,,,,,,,,,,,,harju
179,"Posti tn 4, Lagedi alevik, Rae vald, Harju maakond","Lagedi alevik, Rae vald, Harju maakond",2022-10-30,renoveeritud,1,,,30.0,1,,,,300.0,C,kivimaja,,,,,,,,,,,,,,,,,,,,,,9911402,,,,,harju
180,"Tatari tn 29, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,2,1,1,47.6,3,5,"trepikoda lukus,turvauks",kinnine hoov,650.0,D,kivimaja,2003,,autonoomne küte,elektripliit,"internet,digi-TV,telefon",sundventilatsioon,,korteriomand,"elekter,vesi,küte,kõik kommunaalteenused",650.00,parkimiskoht puudub,,"dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,80.00,170.00,,,,bituumen,,,harju
181,"Mahtra tn 24, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,"valmis,uus viimistlus",1,1,1,34.0,3,9,"trepikoda lukus,turvauks","mööbel,külmik",450.0,energiamärgis määramata,paneelmaja,,jah,keskküte,elektripliit,,,rõdu,kinnistu,kõik kommunaalteenused,450.00,,panipaik,"vann,tsentraalne kanalisatsioon",,,,,,50.00,100.00,,,,,,,harju
182,"Kuldnoka tn 5, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,1,39.0,2,5,trepikoda lukus,"mööbel,külmik",630.0,D,kivimaja,2015,jah,keskküte,elektripliit,digi-TV,sundventilatsioon,klaasitud rõdu,korteriomand,,550.00,,panipaik,"vann,pesumasin",,,,,,67.00,100.00,,,,bituumen,,,harju
183,"Vägeva tee 43, Peetri alevik, Rae vald, Harju maakond","Peetri alevik, Rae vald, Harju maakond",2022-10-30,,2,1,1,52.7,2,3,"trepikoda lukus,naabrivalve,turvasüsteem,turvauks","mööbel,mööbli võimalus,külmik",525.0,,kivimaja,2006,,gaasiküte,elektripliit,"internet,telefon,digi-TV",,prantsuse rõdu,korteriomand,,525.00,kindel parkimiskoht kinnistul,panipaik,,,,,,,,,,,,,,,harju
184,"Nõmme tee, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,1,1,,20.0,3,,trepikoda lukus,,245.0,D,kivimaja,,,keskküte,,,,,,,245.00,kindel parkimiskoht kinnistul,,"tsentraalne kanalisatsioon,pesumasin,dušš",,,,,,50.00,75.00,,,,,,,harju
185,"Juurdeveo tn 17, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,,1,,,28.0,1,2,trepikoda lukus,"mööbli võimalus,külmik",350.0,C,puitmaja,,,keskküte,elektripliit,internet,,,,,700.00,,,"dušš,pesumasin",,,,,,50.00,95.00,,,,,,,harju
186,"Sammu tn 6a, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,4,3,,114.8,5,5,"naabrivalve,trepikoda lukus,turvauks","eraldi sissepääs,mööbel,mööbli võimalus,TV,külmik",2100.0,,kivimaja,2019,jah,"põrandaküte,keskküte",elektripliit,"kaabel-TV,internet",,,korteriomand,,1000.00,,panipaik,"saun,vann,dušš,pesumasin",,,,21.00,,150.00,400.00,,,,,,,harju
187,"Kiisa tn 7, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"renoveeritud,uus viimistlus,valmis",1,1,1,32.7,1,4,"trepikoda lukus,naabrivalve","mööbel,külmik",500.0,E,plokkmaja,1959,,keskküte,gaasipliit,"internet,digi-TV",,,korteriomand,kõik kommunaalteenused,500.00,muu,,"dušš,pesumasin",,,,,,70.00,120.00,,,,,,,harju
188,"Siili tn 3, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,"valmis,renoveeritud",1,1,1,39.0,2,9,"naabrivalve,trepikoda lukus,turvauks","mööbel,mööbli võimalus,külmik",450.0,energiamärgis määramata,kivimaja,,jah,keskküte,elektripliit,"telefon,digi-TV,internet",,rõdu,korteriomand,"küte,vesi,elekter,kõik kommunaalteenused",450.00,kindel parkimiskoht kinnistul,"kelder,panipaik,garderoob","pesumasin,dušš",,,,4.00,,,,,,,,,,harju
189,"Liivamäe tn 4, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,1,,1,33.0,1,9,"trepikoda lukus,turvauks",,450.0,E,plokkmaja,,,keskküte,elektripliit,,,rõdu,korteriomand,,500.00,,,,,,,3.00,,,,,,,,,,harju
190,"Vindi tn 8, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,1,46.5,1,5,trepikoda lukus,mööbel,500.0,D,kivimaja,,,keskküte,elektripliit,"digi-TV,internet,telefon",konditsioneer,,korteriomand,"küte,kõik kommunaalteenused,vesi",750.00,,kelder,"vann,pesumasin",,,,,,97.00,125.00,,9261701,,bituumen,,,harju
191,"Paekalda tn 14, Lahekalda elamurajoon, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,4,3,2,98.0,3,5,"trepikoda lukus,turvasüsteem,turvauks",mööbli võimalus,1500.0,B,paneelmaja,2022,,keskküte,elektripliit,"internet,digi-TV",sundventilatsioon,rõdu,korteriomand,kõik kommunaalteenused,1625.00,kindel parkimiskoht kinnistul,panipaik,"vann,wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon",,,,6.90,,115.00,200.00,,,,rullmaterjal,,,harju
192,"F. R. Faehlmanni tn 24/1, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2022-10-30,"uus viimistlus,renoveeritud",3,2,1,85.0,,3,,"kinnine hoov,mööbel",1000.0,energiamärgis määramata,puitmaja,,,gaasiküte,,,,,,,,,"kelder,panipaik,garderoob",,,,,,,,,,,,,,,harju
193,"Virbi tn 2, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,san remont tehtud,1,,,33.0,3,9,turvauks,,320.0,D,paneelmaja,,jah,keskküte,elektripliit,,,rõdu,,,370.00,,,,,,,,,,,,,,,,,harju
194,"Jahu tn 10, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,"san remont tehtud,uus viimistlus",2,1,1,57.0,2,4,"trepikoda lukus,naabrivalve,turvauks","kinnine hoov,mööbel,külmik",599.0,D,kivimaja,1953,,keskküte,elektripliit,"internet,telefon,digi-TV",,,korteriomand,,1200.00,"muu,parkla","kelder,garderoob","boiler,wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,70.00,170.00,,,,plekk,,,harju
195,"Nelgi tee 3, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2022-10-30,,3,2,1,57.0,3,4,"trepikoda lukus,turvauks","mööbel,külmik",650.0,energiamärgis määramata,,,,"kamin,põrandaküte",elektripliit,"internet,telefon,digi-TV",sundventilatsioon,rõdu,korteriomand,,,kindel parkimiskoht kinnistul,panipaik,"vann,dušš,pesumasin",,,,,,55.00,150.00,,,,,,,harju
196,"Kiili tn 20, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,3,2,1,63.1,7,13,"trepikoda lukus,naabrivalve,turvasüsteem,turvauks","mööbel,külmik",600.0,F,kivimaja,1988,,keskküte,elektripliit,"internet,digi-TV",,klaasitud rõdu,korteriomand,,600.00,parkla,garderoob,"wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,,,,,,,,,harju
197,"Noblessner, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,2,1,,52.9,4,6,"trepikoda lukus,turvasüsteem",,950.0,C,betoonmaja,2019,,keskküte,elektripliit,,sundventilatsioon,klaasitud rõdu,korteriomand,kõik kommunaalteenused,950.00,parkimiskoht puudub,panipaik,dušš,,,,5.60,,,,,,,,,,harju
198,"Lai tn 9, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,,57.5,2,3,"trepikoda lukus,turvauks","kinnine hoov,mööbel,mööbli võimalus,TV,külmik",1100.0,,kivimaja,,,põrandaküte,,internet,,,korteriomand,,1100.00,,panipaik,"dušš,pesumasin",,,,,,,,,,,,,,harju
199,"Laulupeo tn 18, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"renoveeritud,uus viimistlus",3,2,1,73.0,3,3,"trepikoda lukus,videokaamerad","mööbli võimalus,TV,külmik",1200.0,D,puitmaja,1914,,kombineeritud küte,elektripliit,"internet,digi-TV",konditsioneer,,korteriomand,"elekter,gaas",1800.00,kindel parkimiskoht kinnistul,panipaik,"vann,boiler,dušš,pesumasin,tsentraalne kanalisatsioon,konditsioneer",,,,,,,,,,,plekk,,,harju
200,"Valge tn 18, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,1,53.5,4,4,"trepikoda lukus,turvauks,naabrivalve,videokaamerad","kinnine hoov,mööbel,külmik",775.0,E,kivimaja,2006,jah,keskküte,"elektripliit,gaasipliit","internet,telefon,digi-TV",,rõdu,korteriomand,"elekter,küte,vesi",775.00,parkimiskoht maa-aluses garaažis,panipaik,"dušš,pesumasin,tsentraalne kanalisatsioon",,,,15.00,,60.00,130.00,,,,bituumen,,,harju
201,"Gonsiori tn 36, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,1,51.0,3,4,,,600.0,D,plokkmaja,1958,,keskküte,gaasipliit,,,,,,600.00,parkla,,,,,,,,60.00,200.00,,,,,,,harju
202,"Kuldala tee 9, Peetri alevik, Rae vald, Harju maakond","Peetri alevik, Rae vald, Harju maakond",2022-10-30,renoveeritud,4,3,,105.0,2,4,turvauks,"eraldi sissepääs,mööbel,külmik",850.0,E,paneelmaja,2006,,keskküte,,,,,korteriomand,,0.00,,panipaik,"wc ja vannituba eraldi,saun,dušš,boiler,pesumasin",,,,,,,,,,,,,,harju
203,"Viieaia tee 11/1, Laiaküla, Viimsi vald, Harju maakond","Laiaküla, Viimsi vald, Harju maakond",2022-10-30,uusehitis,2,,,46.0,3,3,,mööbel,570.0,A,kivimaja,2022,,,,,sundventilatsioon,rõdu,,,1000.00,kindel parkimiskoht kinnistul,panipaik,,,,,5.00,,60.00,,,,,,,,harju
204,"Liivalaia tn 28, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,vajab renoveerimist,2,1,,57.0,4,5,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",570.0,,kivimaja,1952,,keskküte,elektripliit,"kaabel-TV,internet",,,korteriomand,,0.00,,,"vann,pesumasin",,,,,,100.00,200.00,,,,,,,harju
205,"Kotermaa tn 13, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,1,47.8,1,4,"trepikoda lukus,turvauks","mööbel,TV,külmik",590.0,B,paneelmaja,2022,jah,"keskküte,põrandaküte",elektripliit,,sundventilatsioon,rõdu,korteriomand,kõik kommunaalteenused,590.00,"muu,parkla",garderoob,"dušš,pesumasin",,,,3.00,,80.00,160.00,,,,rullmaterjal,,,harju
206,"Jugapuu põik 10-1, Pirita linnaosa, Tallinn, Harju maakond","Pirita linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,3,2,1,80.0,2,2,naabrivalve,,1150.0,energiamärgis määramata,plokkmaja,,,õhk-vesi soojuspump,elektripliit,"internet,digi-TV",,rõdu,kinnistu,,1.00,"parkla,kindel parkimiskoht kinnistul",panipaik,"boiler,dušš,pesumasin,tsentraalne kanalisatsioon",,,,6.00,,150.00,250.00,,,,tsink,,Broneerige kohtumine siin ,harju
207,"Uus-Tatari tn 4/2, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,1,33.0,1,2,trepikoda lukus,"kinnine hoov,mööbel",490.0,energiamärgis määramata,puitmaja,,,"elektriküte,ahjuküte",elektripliit,internet,,,,,490.00,muu,kelder,"boiler,tsentraalne kanalisatsioon,dušš,pesumasin",,,,,,40.00,90.00,,,,plekk,,,harju
208,"Uus-Sadama tn 16, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,1,1,1,32.0,1,4,"turvauks,trepikoda lukus",mööbel,500.0,energiamärgis määramata,kivimaja,,,keskküte,elektripliit,"internet,telefon,digi-TV",sundventilatsioon,,korteriomand,kõik kommunaalteenused,500.00,"kindel parkimiskoht kinnistul,muu,parkla",,"pesumasin,dušš,tsentraalne kanalisatsioon",,,,,,,,,,,bituumen,,,harju
209,"Tatari tn 18, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,3,,,65.0,1,4,"turvauks,trepikoda lukus,videokaamerad",külmik,650.0,,kivimaja,,,"keskküte,põrandaküte",elektripliit,"internet,kaabel-TV",,,korteriomand,,0.00,,,"pesumasin,dušš,vann",,,,,,,,,,,,,,harju
210,"Kooli tn, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2022-10-30,valmis,3,2,1,74.4,1,4,,eraldi sissepääs,1050.0,,kivimaja,1885,,"gaasiküte,põrandaküte",elektripliit,,konditsioneer,,korteriomand,,1050.00,kindel parkimiskoht kinnistul,kelder,"vann,pesumasin",,,,,,,,,,,liist,,,harju
211,"Tehnika tn 24, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"renoveeritud,uus viimistlus",3,2,1,58.0,4,4,"trepikoda lukus,naabrivalve,turvauks","mööbel,külmik",690.0,C,kivimaja,,,keskküte,elektripliit,,,,korteriomand,"kõik kommunaalteenused,elekter",750.00,"parkla,parkimiskoht garaažis",panipaik,"vann,dušš,pesumasin",,,,,,70.00,150.00,,,,,,,harju
212,"Pikri tn 4, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,1,,,32.7,5,5,,,400.0,D,paneelmaja,,,keskküte,,,,klaasitud rõdu,korteriomand,,500.00,,,,,,,,,,,,,,,,,harju
213,"Luise tn 5c, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"uusehitis,valmis",2,1,1,38.3,3,3,trepikoda lukus,"kinnine hoov,mööbel,TV,külmik",680.0,C,,2018,,"keskküte,põrandaküte",elektripliit,"telefon,internet,digi-TV",,,,kõik kommunaalteenused,680.00,kindel parkimiskoht kinnistul,panipaik,"dušš,pesumasin",,,,,,100.00,150.00,,,,,,,harju
214,"Kiikri tn 6-69, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,1,55.0,1,5,trepikoda lukus,"eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus,külmik",1090.0,B,betoonmaja,2022,,"keskküte,põrandaküte",elektripliit,"internet,digi-TV",sundventilatsioon,terrass,korteriomand,kõik kommunaalteenused,1500.00,parkimiskoht maa-aluses garaažis,garderoob,"dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,70.00,,,	21302150,,kivikatus,,,harju
215,"Lille tn 27, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,1,76.7,4,4,trepikoda lukus,"kinnine hoov,mööbel,mööbli võimalus",980.0,B,kivimaja,,,keskküte,elektripliit,"internet,digi-TV",sundventilatsioon,terrass,kaasomand,,2000.00,parkimiskoht maa-aluses garaažis,"panipaik,garderoob","pesumasin,dušš",,,,,,150.00,250.00,,,,,,,harju
216,"Pirita tee 26f, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,,,98.1,14,16,"trepikoda lukus,turvasüsteem,turvauks,videokaamerad","mööbel,TV,külmik",1200.0,B,kivimaja,2007,jah,keskküte,elektripliit,,konditsioneer,,korteriomand,kõik kommunaalteenused,1350.00,parkimiskoht garaažis,panipaik,"vann,konditsioneer,wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,180.00,370.00,,,,,,,harju
217,"Õismäe tee 136, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,3,1,1,67.0,5,9,"naabrivalve,trepikoda lukus","eraldi sissepääs,mööbel,mööbli võimalus,külmik",600.0,C,paneelmaja,,jah,keskküte,elektripliit,"digi-TV,internet,telefon",,"rõdu,klaasitud rõdu",,"küte,kõik kommunaalteenused,elekter,vesi",600.00,,panipaik,"pesumasin,dušš,vann",,,,,,120.00,240.00,,,460.00,kivikatus,,,harju
218,"Õle tn 26, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,,29.6,1,2,"naabrivalve,trepikoda lukus","kinnine hoov,mööbli võimalus,külmik",550.0,,,1908,,gaasiküte,elektripliit,internet,,,,,400.00,,,"dušš,pesumasin",,,,,,,,,,,,,,harju
219,"Tungla tn 14, Nõmme linnaosa, Tallinn, Harju maakond","Nõmme linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,4,3,1,76.1,3,5,"naabrivalve,trepikoda lukus","mööbel,Lemmikloomad lubatud,TV,külmik",850.0,G,,1978,,keskküte,elektripliit,,,klaasitud rõdu,korteriomand,kõik kommunaalteenused,,parkla,"kelder,panipaik","wc ja vannituba eraldi,pesumasin,tsentraalne kanalisatsioon,vann",,,,3.90,,85.00,170.00,1745 m²,,,,,,harju
220,"Pae tn 44, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,,3,,,60.0,1,5,"turvauks,trepikoda lukus","mööbel,mööbli võimalus,TV,külmik",700.0,C,kivimaja,,,keskküte,gaasipliit,"internet,digi-TV",,,,,,,"panipaik,garderoob","pesumasin,vann,dušš",,,,,,,,,,,,,,harju
221,"Pirita tee 26c/1, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,1,,1,40.0,2,5,trepikoda lukus,"kinnine hoov,mööbel",600.0,B,plokkmaja,,jah,keskküte,elektripliit,"internet,digi-TV",,,korteriomand,kõik kommunaalteenused,600.00,,garderoob,"tsentraalne kanalisatsioon,dušš,pesumasin",,,,,,,,,,,,,,harju
222,"Laulupeo tn 17, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,1,,,18.8,2,3,trepikoda lukus,kinnine hoov,360.0,energiamärgis määramata,puitmaja,1937,,gaasiküte,elektripliit,,,,korteriomand,kõik kommunaalteenused,360.00,,,"dušš,pesumasin",,,,,,50.00,,,,,,,,harju
223,"Tööstuse tn, Vasalemma alevik, Lääne-Harju vald, Harju maakond","Vasalemma alevik, Lääne-Harju vald, Harju maakond",2022-10-30,,1,,1,20.0,1,1,,Lemmikloomad lubatud,200.0,energiamärgis määramata,puitmaja,,,elektriküte,,internet,,,,kõik kommunaalteenused,300.00,kindel parkimiskoht kinnistul,,,,,,,,100.00,200.00,,,,plekk,,,harju
224,"Tedre tn 55, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,,,51.6,,,"videokaamerad,trepikoda lukus,turvauks","kinnine hoov,mööbel,mööbli võimalus,külmik",700.0,B,kivimaja,,jah,põrandaküte,elektripliit,,,,korteriomand,,700.00,,panipaik,"vann,dušš,pesumasin",,,,2.40,,,,,,,,,,harju
225,"Tornimäe tn 7, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,1,54.0,11,30,"turvamees,trepikoda lukus","mööbel,külmik",1200.0,energiamärgis määramata,,,jah,,,,,,,kõik kommunaalteenused,,,,,,,,,,,,,,,,,Tornimäe 7 korteri tutvustav video,harju
226,"Kalaranna tn 8/4, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,1,50.2,2,,"videokaamerad,trepikoda lukus",,950.0,B,kivimaja,2022,jah,põrandaküte,elektripliit,internet,kliimaseade,rõdu,korteriomand,kõik kommunaalteenused,1900.00,parkimiskoht maa-aluses garaažis,panipaik,,,,,5.10,,,160.00,,,,,,rohkem infot siit,harju
227,"Sõle tn 27D, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,1,63.0,5,5,trepikoda lukus,"kinnine hoov,mööbel,külmik",600.0,energiamärgis määramata,kivimaja,,,põrandaküte,elektripliit,internet,,rõdu,korteriomand,kõik kommunaalteenused,1300.00,kindel parkimiskoht kinnistul,,"dušš,tsentraalne kanalisatsioon,pesumasin,vann",,,,,,,,,,,plekk,,https://rendin.ee/a/EPJG,harju
228,"Siidisaba tn 11, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,2,1,1,50.7,1,,turvasüsteem,"kinnine hoov,mööbli võimalus,TV,külmik",590.0,energiamärgis määramata,kivimaja,2006,,keskküte,elektripliit,,,,,kõik kommunaalteenused,600.00,parkimiskoht varjualuse all,panipaik,"boiler,dušš,pesumasin",,,,,,110.00,180.00,,,,,,,harju
229,"Astangu tn 21/3, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,2,1,1,55.3,8,8,"trepikoda lukus,naabrivalve,turvasüsteem,turvauks,videokaamerad",mööbel,600.0,C,,2008,jah,keskküte,elektripliit,internet,,prantsuse rõdu,korteriomand,kõik kommunaalteenused,1200.00,kindel parkimiskoht kinnistul,panipaik,"vann,dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,110.00,160.00,,,,,,,harju
230,"Vindi tn 16, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,1,,,25.0,1,5,naabrivalve,"mööbel,TV,külmik",470.0,F,kivimaja,1980,,keskküte,gaasipliit,"kaabel-TV,telefon,internet",,,korteriomand,,0.00,,kinnine rõdu,"vann,dušš,pesumasin",,,,,,,,,,,,,,harju
231,"Toom-Kuninga tn 23, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,,,48.1,1,2,trepikoda lukus,"mööbel,TV,külmik",650.0,energiamärgis määramata,puitmaja,,,gaasiküte,elektripliit,,,,,,650.00,kindel parkimiskoht kinnistul,,"saun,pesumasin,boiler,dušš",,,,,,,,,,,,,,harju
232,"Gonsiori tn 33, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,1,63.4,5,5,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",700.0,E,kivimaja,,,keskküte,elektripliit,,,,korteriomand,"vesi,elekter,kõik kommunaalteenused,küte",750.00,kindel parkimiskoht kinnistul,garderoob,"vann,pesumasin,tsentraalne kanalisatsioon",,,,,,,,,,,rullmaterjal,,,harju
233,"Padriku tee 16/3, Pirita linnaosa, Tallinn, Harju maakond","Pirita linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,1,54.2,3,3,trepikoda lukus,"kinnine hoov,mööbel",750.0,energiamärgis määramata,,,,"keskküte,põrandaküte",elektripliit,,,rõdu,korteriomand,,750.00,kindel parkimiskoht kinnistul,panipaik,"vann,wc ja vannituba eraldi,dušš",,,,,,,,,,,,,,harju
234,"Räga tn 12-1, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,4,3,1,129.37,1,4,"turvasüsteem,trepikoda lukus",eraldi sissepääs,950.0,B,,,,gaasiküte,elektripliit,"internet,digi-TV",,terrass,korteriomand,kõik kommunaalteenused,950.00,kindel parkimiskoht kinnistul,panipaik,"dušš,tsentraalne kanalisatsioon,wc ja vannituba eraldi,vann",,,,,,206.00,268.00,,,,,,,harju
235,"Astangu tn 34, Õismäe, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,1,57.0,5,5,trepikoda lukus,"mööbel,TV,külmik",625.0,D,paneelmaja,2004,,keskküte,elektripliit,internet,,"rõdu,kinnine rõdu",korteriomand,"elekter,vesi,küte",800.00,,,"pesumasin,dušš,tsentraalne kanalisatsioon",,,,6.00,,100.00,250.00,,,,bituumen,,,harju
