,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Küte,Pliit,Side,Ventilatsioon,Rõdu,Omandiõigus,Lisanduvad kommunaalid,Tagatisraha,Parkimine,Lisaruumid,Sanitaar,Lisanduvad kommunaalkulud,Parkimiskohti,tasuta parkimine,Rõdu pind,tasuline parkimine,Suve kommunaalid,Talve kommunaalid,Krunt,Kinnistu number,Maakleritasu,Katus,Piirangud,Lisainfo,maakond
52,"Jahu tn 1, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,3,2,,69.3,3,6,"videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",850.0,E,kivimaja,2000,jah,"keskküte,põrandaküte",elektripliit,"kaabel-TV,internet",,,korteriomand,,,,,"dušš,vann,pesumasin",,,,,,150.00,350.00,,,,,,,harju
53,"Laki tn 24, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,1,1,,12.9,4,4,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",340.0,,kivimaja,2019,,"keskküte,põrandaküte",elektripliit,"kaabel-TV,telefon,internet",kliimaseade,,,,,,,"dušš,pesumasin",,,,,,50.00,70.00,,,,,,,harju
54,"Mustamäe tee 143, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,43.8,1,5,"videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",630.0,E,paneelmaja,1969,,"keskküte,põrandaküte",,"kaabel-TV,internet",,,korteriomand,,,,,"dušš,pesumasin",,,,,,75.00,138.00,,,,,,,harju
55,"Kaupmehe tn 4, Uus hind, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,,,59.9,4,4,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",600.0,,paneelmaja,1954,,keskküte,elektripliit,internet,,,korteriomand,,600.00,,,"dušš,vann,pesumasin",,,,,,100.00,240.00,,,600.00,,,,harju
56,"Raudtee tn 57, Nõmme linnaosa, Tallinn, Harju maakond","Nõmme linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,100.2,3,3,"naabrivalve,turvauks,trepikoda lukus",külmik,900.0,,puitmaja,1927,,õhksoojuspump,elektripliit,internet,,,korteriomand,,,,,"dušš,boiler,pesumasin",,,,,,,,,,,,,,harju
57,"Rataskaevu tn 8, Vanalinn, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,76.5,3,4,"turvauks,trepikoda lukus","mööbel,külmik",650.0,energiamärgis määramata,kivimaja,1820,,"keskküte,gaasiküte,põrandaküte",elektripliit,"kaabel-TV,telefon,internet",,,korteriomand,,,,,"dušš,pesumasin",,,,,,,,,,,,,,harju
58,"Kentmanni tn 28, Südalinn, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,,40.0,4,7,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",700.0,B,,2022,jah,"keskküte,põrandaküte",,,,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,5.00,,,,,,,,,,harju
59,"Kentmanni tn 28, Südalinn, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,3,2,,61.9,4,7,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1350.0,B,,2022,jah,"keskküte,põrandaküte",,,,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,5.80,,,,,1010601,,,,,harju
60,"Herne tn 25, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,77.7,3,5,trepikoda lukus,külmik,750.0,energiamärgis määramata,kivimaja,2014,,"gaasiküte,põrandaküte",elektripliit,"kaabel-TV,internet",,rõdu,korteriomand,,2100.00,,,"dušš,vann,pesumasin",,,,3.40,,100.00,200.00,,,,,,,harju
61,"Padriku tee 6/2, Pirita linnaosa, Tallinn, Harju maakond","Pirita linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,93.7,4,4,"turvauks,trepikoda lukus","mööbel,külmik",750.0,energiamärgis määramata,kivimaja,2006,,"keskküte,gaasiküte,põrandaküte",elektripliit,"kaabel-TV,telefon,internet",,rõdu,korteriomand,,,,,"dušš,vann,pesumasin",,,,21.60,,120.00,250.00,,,,,,,harju
