,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Köögi pind,Katastritunnus,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Saadaval,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud,maakond
334,4323354,"Kreenholmi tn 7,Narva linn, Ida-Viru maakond",2022-10-23,renoveeritud,3,,48.9 m²,5,5,,,48000.0,981.60 €/m²,"151 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",F,plokkmaja,1962,keskküte,,,,51101:006:0026,mööbel,,elektripliit,,,,,,,,,,,,,,https://zukkv.ee/,,,,,,,,tartu
335,1545422,"Papli tn 27,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,3,2,57.5 m²,2,3,korteriomand,"trepikoda lukus,turvauks",420000.0,7 304.35 €/m²,"1 320 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,kivimaja,2017,keskküte,"dušš,vann",,,62512:045:0440,"mööbli võimalus,külmik",panipaik,elektripliit,"kaabel-TV,telefon,internet",,,,,0,,rõdu,,,,,,,jah,,,,,,,tartu
336,4821087,"Jalami tn 10/1-3,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,2,1,55.1 m²,1,3,korteriomand,,213000.0,3 865.70 €/m²,"669 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,"dušš,vann",1,,,mööbli võimalus,garderoob,,,4.30,,,,,,rõdu,parkimiskoht maa-aluses garaažis,,,,,Vaata kodulehte siit,,,,,,,,tartu
337,2604451,"Jalami tn 10/2-18,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,4,3,83.1 m²,2,3,korteriomand,,311000.0,3 742.48 €/m²,"977 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,23.20,,,,,,rõdu,parkimiskoht maa-aluses garaažis,,,,,Vaata kodulehte siit,,,,,,,,tartu
338,3914295,"Jalami tn 10/2,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,3,2,62.6 m²,2,3,korteriomand,,235000.0,3 753.99 €/m²,"738 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,4.30,,,,,,rõdu,parkimiskoht maa-aluses garaažis,,,,,Vaata kodulehte siit,,,,,,,,tartu
339,7182795,"Jalami tn 10/2-22,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,4,3,83.5 m²,2,3,korteriomand,,306000.0,3 664.67 €/m²,"961 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,4.30,,,,,,rõdu,parkimiskoht maa-aluses garaažis,,,,,Vaata kodulehte siit,,,,,,,,tartu
340,4933639,"Jalami tn 10/2-25,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,3,2,62.7 m²,3,3,korteriomand,,243000.0,3 875.60 €/m²,"763 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,4.30,,,,,,rõdu,parkimiskoht maa-aluses garaažis,,,,,Vaata kodulehte siit,,,,,,,,tartu
341,3047258,"Jalami tn 10/1-14,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,3,2,67.3 m²,3,3,korteriomand,,248000.0,3 684.99 €/m²,"779 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,4.30,,,,,,rõdu,parkimiskoht maa-aluses garaažis,,,,,Vaata kodulehte siit,,,,,,,,tartu
342,7066924,"Jalami tn 10/1-13,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,4,3,83.9 m²,3,3,korteriomand,,317000.0,3 778.31 €/m²,"996 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,4.30,,,,,,rõdu,parkimiskoht maa-aluses garaažis,,,,,Vaata kodulehte siit,,,,,,,,tartu
343,5636290,"Jalami tn 11-6,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,3,2,63 m²,2,3,korteriomand,,251000.0,3 984.13 €/m²,"789 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,4.30,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,Vaata kodulehte siit,,,,,,,,tartu
344,6386248,"Jalami tn 11-4,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,2,1,52.9 m²,1,3,korteriomand,,218000.0,4 120.98 €/m²,"685 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,18.10,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,Vaata kodulehte siit,,,,,,,,tartu
345,1281682,"Jalami tn 11-3,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,4,3,79.6 m²,1,3,korteriomand,,311000.0,3 907.04 €/m²,"977 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,14.80,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,Vaata kodulehte siit,,,,,,,,tartu
346,3308764,"Jalami tn 11-2,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,3,2,63.9 m²,1,3,korteriomand,,244000.0,3 818.47 €/m²,"767 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2023,,dušš,1,,,mööbli võimalus,garderoob,,,16.30,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,Vaata kodulehte siit,,,,,,,,tartu
347,2940332,"Jalami tn 8/1-12,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-23,uusehitis,2,1,52.8 m²,3,4,korteriomand,,239000.0,4 526.52 €/m²,"751 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,,,1,,,mööbli võimalus,garderoob,,,4.50,,,,,jah,rõdu,parkimiskoht maa-aluses garaažis,,,,,,,,,,,,,tartu
348,1833075,"Kaupmehe tn. 10, Südalinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-23,renoveeritud,4,2,84.4 m²,2,5,korteriomand,"turvauks,trepikoda lukus",299000.0,3 542.65 €/m²,"939 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",D,kivimaja,1938,keskküte,,,,78401:105:0320,külmik,,elektripliit,"internet,kaabel-TV",,,,,,,,,,,,,,,,,,,,,tartu
349,8777947,"Kuldse Kodu tn 5, Rääma,Pärnu linn, Pärnu maakond",2022-10-23,valmis,1,,38.2 m²,1,5,korteriomand,"trepikoda lukus,turvauks",62900.0,1 646.60 €/m²,"198 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,paneelmaja,1980,"keskküte,põrandaküte","dušš,pesumasin,boiler",,,62507:061:9040,,,elektripliit,internet,,,,,1956805,,,,,,,,,,,,,,,,tartu
350,8051838,"Raudtee tn, Tammelinn,Tartu linn, Tartu maakond",2022-10-23,valmis,4,,81.4 m²,,,,,199000.0,2 444.72 €/m²,"625 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,palkmaja,,"õhksoojuspump,elektriküte",,,,79504:051:0004,mööbli võimalus,kelder,,,,,,,,,,,,,,,,,,,,,,,tartu
351,6279638,"Tiigi tn 17, Kesklinn,Tartu linn, Tartu maakond",2022-10-23,,2,1,37.1 m²,2,4,korteriomand,,125000.0,3 369.27 €/m²,"393 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",D,,1961,keskküte,,,,79507:030:0004,,,,,,,,,2279003,,,,,eterniit,1180 m²,,,,sundventilatsioon,,,,,,tartu
352,3166663,"Aardla tn 136, Ränilinn,Tartu linn, Tartu maakond",2022-10-23,vajab kapitaalremonti,1,,33.8 m²,5,5,korteriomand,trepikoda lukus,74000.0,2 189.35 €/m²,"232 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",E,kivimaja,1979,keskküte,"pesumasin,wc ja vannituba eraldi,vann",,,79505:005:0018,"mööbli võimalus,külmik",,,"kaabel-TV,internet",,,,,0,,,,,,,,,jah,,,,,,,tartu
353,4308104,"Oa tn 52-2, Kesklinn,Tartu linn, Tartu maakond",2022-10-23,uusehitis,4,,95.5 m²,1,3,korteriomand,,329995.0,3 455.45 €/m²,"1 037 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,,,,,79513:003:0002,,,,,,,,,,,,,,,,,,,,,,,,,tartu
354,1737812,"Marja tn 16, Supilinn,Tartu linn, Tartu maakond",2022-10-23,uusehitis,3,,83.7 m²,2,,korteriomand,,262900.0,,"826 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,palkmaja,2022,keskküte,,,,,,,,,,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,,,,,,,,,tartu
355,6386230,"Marja tn 16, Supilinn,Tartu linn, Tartu maakond",2022-10-23,uusehitis,3,,75.4 m²,2,,korteriomand,,233900.0,,"735 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,palkmaja,2022,keskküte,,,,,,,,,,,,,,,rõdu,kindel parkimiskoht kinnistul,,,,,,,,,,,,,tartu
356,7879386,"Aruküla tee 20, Raadi-Kruusamäe,Tartu linn, Tartu maakond",2022-10-23,renoveeritud,4,3,90.5 m²,,2,korteriomand,,149000.0,1 646.41 €/m²,"468 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,kivimaja,1982,keskküte,"vann,boiler,tsentraalne kanalisatsioon,wc ja vannituba eraldi",1,,79514:037:0017,"eraldi sissepääs,mööbli võimalus","kelder,panipaik,garderoob",elektripliit,"telefon,digi-TV,internet",7.30,,,,,,kinnine rõdu,"tasuta parkimine,kindel parkimiskoht kinnistul",,plekk,,,,,,,,,,,tartu
357,8099044,"Uus tn 1, Ülejõe,Tartu linn, Tartu maakond",2022-10-23,valmis,4,3,76.2 m²,3,5,korteriomand,trepikoda lukus,152000.0,,"478 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",energiamärgis määramata,,1985,keskküte,"vann,wc ja vannituba eraldi,tsentraalne kanalisatsioon",,,,,,,internet,,,,,,,,tasuta parkimine,,,,,,,,,,,,,tartu
358,2623231,"Pihlaka tn 24-5,Kõrveküla alevik, Tartu vald, Tartu maakond",2022-10-23,uusehitis,5,4,105.8 m²,,2,korteriomand,,250000.0,2 362.95 €/m²,"785 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"põrandaküte,maaküte","wc ja vannituba eraldi,saun,dušš",,,79403:002:1076,,panipaik,,internet,,,,,0,,,,,,,,,jah,,,,,,,tartu
359,3510235,"Pihlaka tn 24-2,Kõrveküla alevik, Tartu vald, Tartu maakond",2022-10-23,uusehitis,4,3,95.7 m²,,2,korteriomand,,215000.0,2 246.60 €/m²,"675 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,,"dušš,saun,wc ja vannituba eraldi",,,79403:002:1076,,panipaik,,internet,,,,,0,,,,,,,,,jah,,,,,,,tartu
360,1194296,"Pihlaka tn 24-4,Kõrveküla alevik, Tartu vald, Tartu maakond",2022-10-23,uusehitis,4,3,106.1 m²,,2,korteriomand,,245000.0,2 309.14 €/m²,"770 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",A,kivimaja,2022,"maaküte,põrandaküte","wc ja vannituba eraldi,dušš,saun",,,79403:002:1076,,panipaik,,internet,,,,,0,,,,,,,,,jah,,,,,,,tartu
