,rooms,size,floor,condition,ownership_type,reg_no,energy_label,url,price,aadress,year,utility,total_floors,maakond,linn_vald,linnaosa,streetwno,street,sqm_price,st_address,address,lat,long
5345,3,72.7,1.0,Uus,Korteriomand,62401:001:0473,B,https://www.kv.ee/hobe-kodud-need-on-kahele-korvuti-asetsevale-kinni-3344914.html,225000,"Pärnumaa, Pärnu, Pärnu linn, Kesklinn, Hõbe tn 4-1",2022.0,,2.0,Pärnumaa,Pärnu,Pärnu linn,Hõbe tn 4-1,Hõbe tn,3094.9105914718016,"Eesti, Pärnumaa,Pärnu,Pärnu linn,Hõbe tn","Hõbe, Pärnu, Pärnu maakond, Estonia",58.38151329999999,24.5101869
5346,3,140.9,,Heas korras,Korteriomand,84801:004:0617,Puudub,https://www.kv.ee/muua-ridaelamuboks-tahkuranna-kulas-kinnistu-asub-3372414.html,95000,"Pärnumaa, Häädemeeste vald, Tahkuranna, Merimäe tee 23",2008.0,,,Pärnumaa,Häädemeeste vald,Tahkuranna,Merimäe tee 23,Merimäe tee,674.2370475514549,"Eesti, Pärnumaa,Häädemeeste vald,Tahkuranna,Merimäe tee","Merimäe tee, Tahkuranna, 86509 Pärnu maakond, Estonia",58.2329446,24.4889582
5347,2,43.0,5.0,Renoveeritud,Korteriomand,78405:501:26,-,https://www.kv.ee/tule-vaata-ja-tee-oma-pakkumine-muugiga-kiire-lisa-3382493.html,102000,"Harjumaa, Tallinn, Mustamäe, retke tee 28-87",1975.0,70 €/120 €,5.0,Harjumaa,Tallinn,Mustamäe,retke tee 28-87,retke tee,2372.093023255814,"Eesti, Harjumaa,Tallinn,Mustamäe,retke tee","Retke tee, Tallinn, Estonia",59.39937249999999,24.7057547
5348,2,50.9,2.0,Uus,Korteriomand,,A,https://www.kv.ee/kakumae-sudamesse-rahulikku-ja-rohelisse-vismeistr-3381382.html,145000,"Harjumaa, Tallinn, Haabersti, Kakumäe, Jõeküla tee 18/2-8",2022.0,,2.0,Harjumaa,Tallinn,Haabersti,Jõeküla tee 18/2-8,Jõeküla tee,2848.722986247544,"Eesti, Harjumaa,Tallinn,Haabersti,Jõeküla tee","Jõeküla tee, Tallinn, Estonia",59.4403278,24.5911781
5349,1,27.2,4.0,Renoveeritud,Korteriomand,79505:005:0056,-,https://www.kv.ee/muua-hea-planeeringuga-ilus-valguskullane-korter-k-3324358.html,65500,"Tartumaa, Tartu, Tartu linn, Ränilinn, Aardla tn 120",1973.0,,5.0,Tartumaa,Tartu,Tartu linn,Aardla tn 120,Aardla tn,2408.0882352941176,"Eesti, Tartumaa,Tartu,Tartu linn,Aardla tn","Aardla, Tartu, Estonia",58.353908,26.7042426
5350,3,72.4,1.0,Uus,Korteriomand,,A,https://www.kv.ee/avara-paikesepoolse-terrassiga-3toaline-kodu-mere-3318938.html,268000,"Harjumaa, Tallinn, Haabersti, Merimetsa, Lahepea tn 15-5",2021.0,,4.0,Harjumaa,Tallinn,Haabersti,Lahepea tn 15-5,Lahepea tn,3701.657458563536,"Eesti, Harjumaa,Tallinn,Haabersti,Lahepea tn","Lahepea, Tallinn, Estonia",59.4323647,24.6859633
5351,4,103.0,,Uus,Korteriomand,,A,https://www.kv.ee/ruumikas-sauna-ja-majapidamisruumiga-kodu-terrassi-3318874.html,373000,"Harjumaa, Tallinn, Haabersti, Merimetsa, Lahepea tn 15-2",,,,Harjumaa,Tallinn,Haabersti,Lahepea tn 15-2,Lahepea tn,3621.359223300971,"Eesti, Harjumaa,Tallinn,Haabersti,Lahepea tn","Lahepea, Tallinn, Estonia",59.4323647,24.6859633
5352,2,39.3,1.0,Heas korras,Kaasomand,79508:062:0013,,https://www.kv.ee/muugile-on-tulnud-karlovas-vaike-ja-hubane-2toalin-3349641.html,64900,"Tartumaa, Tartu, Karlova, Sõbra tn 35",1977.0,,2.0,Tartumaa,Tartu,Karlova,Sõbra tn 35,Sõbra tn,1651.3994910941476,"Eesti, Tartumaa,Tartu,Karlova,Sõbra tn","Sõbra, Tartu, Estonia",58.36454310000001,26.7346325
5353,4,87.8,3.0,,Kaasomand,78402:201:5150,B,https://www.kv.ee/pakkuda-rohelises-piirkonnas-armas-pirita-4toaline-3381633.html,229000,"Harjumaa, Tallinn, Pirita, Tohu 1",,,3.0,Harjumaa,Tallinn,Pirita,Tohu 1,Tohu,2608.2004555808658,"Eesti, Harjumaa,Tallinn,Pirita,Tohu","Tohu, 12012 Tallinn, Estonia",59.45454530000001,24.8426402
5354,4,77.7,4.0,Renoveeritud,Korteriomand,,E,https://www.kv.ee/muua-4toaline-renoveeritud-korter-annelinnas-koik-3382021.html,89000,"Tartumaa, Tartu, Tartu linn, Annelinn, Kaunase pst 82",,,9.0,Tartumaa,Tartu,Tartu linn,Kaunase pst 82,Kaunase pst,1145.4311454311453,"Eesti, Tartumaa,Tartu,Tartu linn,Kaunase pst","Kaunase pst, Tartu, Estonia",58.3750151,26.7694174
5355,3,76.5,3.0,Uus,Korteriomand,78406:611:0145,B,https://www.kv.ee/privaatsust-pakkuv-kodu-kakumae-ranna-laheduses-mu-3378484.html,247000,"Harjumaa, Tallinn, Haabersti, Kakumäe, Tindi tn. 6",2015.0,,3.0,Harjumaa,Tallinn,Haabersti,Tindi tn. 6,Tindi tn.,3228.7581699346406,"Eesti, Harjumaa,Tallinn,Haabersti,Tindi tn.","Tindi, 13516 Tallinn, Estonia",59.4506196,24.5851285
5356,3,81.0,2.0,,,,B,https://www.kv.ee/muua-kohe-valmiv-korter-kesklinnas-korter-asub-rah-3379624.html,306000,"Harjumaa, Tallinn, Kesklinn, Veerenni, Pille 4-10",2021.0,,4.0,Harjumaa,Tallinn,Kesklinn,Pille 4-10,Pille,3777.777777777778,"Eesti, Harjumaa,Tallinn,Kesklinn,Pille","Pille, 10135 Tallinn, Estonia",59.4206914,24.7492438
