,address,rooms,bedrooms,area,floor,total_floors,price,energy_label,year,maakond,city,district,flag_balcony,flag_lift,flag_shower,flag_bath,flag_sauna,flag_generalheat,flag_floorheat,flag_gasheat,flag_electricalheat,flag_brick,flag_panel,flag_beton,flag_stone,flag_wood,flag_newbuilding,flag_indevelopment,flag_renovated,flag_needsrenovation,zipcode,lat,lng
2380,"Paekalda tn 23/1-20, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",4.0,3.0,91.3,4.0,8.0,332000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2381,"Paekalda tn 23/1-15, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,81.6,4.0,8.0,290000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2382,"Paekalda tn 23/1-17, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,73.7,4.0,8.0,277000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2383,"Paekalda tn 23/1-1, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,81.6,2.0,8.0,279000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2384,"Paekalda tn 23/1-31, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",3.0,2.0,73.7,6.0,8.0,291000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2385,"Paekalda tn 23/1-7, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,53.3,2.0,8.0,207000.0,A,2023.0,harju, Tallinn,Lasnamäe linnaosa,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,13628,59.4505954,24.8223895
2386,"Asula tn 1, Kesklinna linnaosa, Tallinn, Harju maakond",3.0,2.0,85.9,2.0,10.0,239000.0,energiamärgis määramata,2005.0,harju, Tallinn,Kesklinna linnaosa,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,11312,59.4191217,24.7386065
2387,"Vabriku tn 47/1, Kalamaja, Põhja-Tallinna linnaosa, Tallinn, Harju maakond",1.0,1.0,18.7,1.0,3.0,62000.0,energiamärgis määramata,1946.0,harju, Tallinn,Põhja-Tallinna linnaosa,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10411,59.444264,24.725405
2389,"Sõpruse pst 28-24, Kristiine linnaosa, Tallinn, Harju maakond",3.0,2.0,100.3,1.0,5.0,465000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
2390,"Sõpruse pst 28-35, Lilleküla, Kristiine linnaosa, Tallinn, Harju maakond",4.0,3.0,100.1,1.0,5.0,505000.0,energiamärgis määramata,2024.0,harju, Tallinn,Kristiine linnaosa,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10615,59.4219005,24.7140545
