,Üldinfo,aadress,date,ID,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Hoone,Katastritunnus,Energiamärgis,Materjal,Ehitusaasta,Lisaruumid,Tehnosüsteemid,Küte,Sanitaar,Pliit,Side,Parkimine,Lisainfo,Ventilatsioon,Köögi pind,Lift,Katus,Kinnistu number,tasuta parkimine,Krunt,Suve kommunaalid,Talve kommunaalid,tasuline parkimine,Saadaval,Lisanduvad kommunaalid,Tagatisraha,KM,Sihtotstarve,Parkimiskohti,Lisanduvad kommunaalkulud,Maakleritasu,Piirangud
1911,Üldinfo,"Lastekodu tn 1,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,1104098,,2,1,1,56.5 m²,,,3,4,,"turvauks,trepikoda lukus","mööbel,mööbli võimalus",189 000 €,3 345.13 €/m²,"594 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,,,,panipaik,Tehnosüsteemid,keskküte,,gaasipliit,"telefon,internet,digi-TV",tasuta parkimine,,,,,,,,,,,,,,,,,,,,
1912,Üldinfo,"Lasnamäe tn 4c,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,7459950,uusehitis,3,2,,109.6 m²,rõdu,65.3,13,13,korteriomand,"naabrivalve,trepikoda lukus,turvauks","mööbel,mööbli võimalus,külmik",698 000 €,6 368.61 €/m²,"2 193 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:101:1043,C,kivimaja,2018,panipaik,Tehnosüsteemid,"keskküte,põrandaküte","wc ja vannituba eraldi,pesumasin,vann,dušš",,"kaabel-TV,internet",,,,,jah,,,jah,,,,,,,,,,,,,
1913,Üldinfo,"Pikk tn 15,Vanalinn, Tallinn, Harju maakond",5/27/2022,6299361,renoveeritud,3,2,,86.1 m²,,,2,3,korteriomand,"trepikoda lukus,naabrivalve,turvauks","mööbel,mööbli võimalus,külmik",325 000 €,3 774.68 €/m²,"1 021 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:101:3530,energiamärgis määramata,kivimaja,1636,,Tehnosüsteemid,"keskküte,kamin","pesumasin,dušš,boiler,vann",,"internet,kaabel-TV",,,,,,,,,,100,270,jah,,,,,,,,,
1914,Üldinfo,"Kalaranna tn 8/2,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",5/27/2022,3497392,uusehitis,3,2,,76 m²,rõdu,11.6,2,5,korteriomand,"trepikoda lukus,naabrivalve,turvauks","mööbel,külmik",389 000 €,5 118.42 €/m²,"1 222 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,B,kivimaja,2022,,Tehnosüsteemid,"põrandaküte,keskküte","wc ja vannituba eraldi,dušš",,"kaabel-TV,internet",,,,,jah,,,jah,,,,,,,,,,,,,
1915,Üldinfo,"Kuninga tn 1,Vanalinn, Tallinn, Harju maakond",5/27/2022,3943203,renoveeritud,9,6,,726.3 m²,rõdu,30,,3,korteriomand,"naabrivalve,videokaamerad,trepikoda lukus,turvauks",külmik,2 750 000 €,3 786.31 €/m²,"8 640 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:101:0180,energiamärgis määramata,kivimaja,1451,panipaik,Tehnosüsteemid,"keskküte,kamin","saun,dušš,vann,wc ja vannituba eraldi",,,,,,,,,,jah,,,,,,,,,,,,,
1916,Üldinfo,"Pikk tn 15,Vanalinn, Tallinn, Harju maakond",5/27/2022,6091464,,22,,,920 m²,,,,3,korteriomand,,,2 974 000 €,3 232.61 €/m²,"9 344 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:101:3530,energiamärgis määramata,kivimaja,1636,"kelder,panipaik",Tehnosüsteemid,keskküte,,,,,,,,,,,,,,,jah,,,,,,,,,
1917,Üldinfo,"Tehnika tn 83,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,7861619,valmis,2,1,,49.4 m²,,,-1,4,korteriomand,"trepikoda lukus,naabrivalve,turvauks","mööbel,mööbli võimalus,külmik",139 000 €,2 813.77 €/m²,"437 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:109:0290,D,kivimaja,2007,,Tehnosüsteemid,"gaasiküte,põrandaküte","pesumasin,dušš",,"kaabel-TV,internet",,,,,,,,,,,,,,,,,,,,,
1918,Üldinfo,"Talli tn 5,Kristiine linnaosa, Tallinn, Harju maakond",5/27/2022,9267340,valmis,3,2,,83.9 m²,rõdu,41.2,,2,korteriomand,"naabrivalve,turvauks","mööbel,mööbli võimalus,külmik",359 600 €,4 286.05 €/m²,"1 130 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:101:4999,energiamärgis määramata,kivimaja,2021,,Tehnosüsteemid,"keskküte,põrandaküte","vann,dušš,wc ja vannituba eraldi,pesumasin",,"kaabel-TV,internet",,,,,,,,jah,,,,,,,,,,,,,
1919,Üldinfo,"Sõpruse pst 29,Kristiine linnaosa, Tallinn, Harju maakond",5/27/2022,2208315,valmis,2,1,,57.1 m²,,,2,5,korteriomand,"naabrivalve,trepikoda lukus","mööbel,külmik",183 990 €,3 222.24 €/m²,"578 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78407:701:0310,D,kivimaja,2007,panipaik,Tehnosüsteemid,keskküte,"pesumasin,dušš",,"kaabel-TV,telefon,internet",,,,,jah,,,jah,,80,150,,,,,,,,,,
1920,Üldinfo,"Mahtra tn 6,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,4202724,valmis,4,3,,66.2 m²,rõdu,2,4,9,korteriomand,"trepikoda lukus,naabrivalve,turvauks","mööbel,külmik",152 000 €,2 296.07 €/m²,"478 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78403:310:0700,D,paneelmaja,1982,,Tehnosüsteemid,keskküte,"pesumasin,dušš,vann,wc ja vannituba eraldi",elektripliit,"telefon,internet",,,,,jah,,4668801,jah,,100,150,,,,,,,,,,
