,url,hind,aadress,description,Tube,Magamistube,Üldpind,Energiamärgis,Korruseid,Korrus,hind_m2
23,https://www.kv.ee/investeerimiseks-hea-korter-sisustuskorterisse-si-3429206.html,105000.0," Tulika 62, Kristiine, Tallinn, Harjumaa","<p>Korteriomand<br/><br/><strong>Lisainfo:</strong> köök <br/><strong>Köök:</strong> gaasipliit, külmik, köögimööbel <br/><strong>Sanruum:</strong> dušš, pesumasin <br/><strong>Side ja turvalisus:</strong> trepikoda lukus <br/><strong>Ümbrus:</strong> kattega teed <br/></p>",2,1.0909090909090908,39.5,F,5,5,2658.227848101266
24,https://www.kv.ee/muua-suureparase-asukohaga-ja-imeliste-vaadetega-k-3413873.html,219000.0," Maakri 36, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> parkimine tasuta, panipaik, ühistransport, tsentraalne vesi, mööbel, ventilatsioon, lift, rullmaterjalist katus <br/><strong>Köök:</strong> elektripliit, avatud köök <br/><strong>Sanruum:</strong> vann, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, trepikoda lukus <br/></p>",2,1.0,43.6,D,19,11,5022.935779816514
25,https://www.kv.ee/muua-ilus-ja-valguskullane-3toaline-korter-korter-3424992.html,172500.0," Läänemere tee 70/3, Lasnamäe, Tallinn, Harjumaa","<p>Kivimaja<br/><br/><strong>Lisainfo:</strong> köök, parkimine tasuta, ühistransport, tsentraalne vesi, elekter, mööbli võimalus, parkett, lift <br/><strong>Köök:</strong> elektripliit, avatud köök <br/><strong>Sanruum:</strong> uus torustik, dušš <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> trepikoda lukus, turvauks <br/></p>",3,2.0,64.8,E,6,6,2662.037037037037
26,https://www.kv.ee/muugile-on-tulnud-suureparase-asukohaga-kodu-labi-3425503.html,479000.0," Käo tn 54 // Linnu tee 13, Kristiine, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu , köök, elekter, tsentraalgaas, mööbel, parkett, garderoob, parkimine tasuta, seinakapp, toad eraldi, eraldi sissepääs, planeering läbi mitme korruse, kinnine hoov, ühistransport, garaaž, tsentraalne vesi, aiaga ümbritsetud, rullmaterjalist katus <br/><strong>Köök:</strong> elektripliit, avatud köök, külmik <br/><strong>Sanruum:</strong> dušš, wc ja vannituba eraldi, saun, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> gaasiküte <br/><strong>Side ja turvalisus:</strong> naabrivalve, trepikoda lukus <br/></p>",5,4.0,189.2,Puudub,2,1,2531.712473572939
27,https://www.kv.ee/muua-ilus-2toaline-roduga-korter-tallinna-sudalinn-3410509.html,279000.0," Roseni tn 9, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu 3,5 m², maa-alune garaaž, mööbli võimalus, mööbel, pakettaknad, parkett, lift, parkimine tasuline <br/></p>",2,1.0,43.0,Puudub,8,5,6488.372093023256
29,https://www.kv.ee/muugile-on-saabunud-armas-kodu-kopli-piirkonnas-ma-3429914.html,105000.0," Vasara tn 2c, Põhja-Tallinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> panipaik, uus elektrijuhtmestik, toad eraldi, pakettaknad, parkimine tasuta <br/><strong>Sanruum:</strong> dušš, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> gaasiküte <br/><strong>Side ja turvalisus:</strong> trepikoda lukus <br/><strong>Ümbrus:</strong> teed heas seisukorras <br/></p>",2,1.0,37.5,G,4,4,2800.0
30,https://www.kv.ee/muugile-on-tulnud-hubane-3toaline-perekorter-musta-3419535.html,139900.0," Sõpruse pst 200, Mustamäe, Tallinn, Harjumaa","<p>Korteriomand, paneelmaja<br/><br/><strong>Lisainfo:</strong> rõdu 6 m², lift, rõdu kinnine, parkimine tasuta, seinakapp, toad eraldi, mööbli võimalus, pakettaknad, parkett <br/><strong>Köök:</strong> gaasipliit, külmik, köögimööbel <br/><strong>Sanruum:</strong> vann, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, telefon, kaabelTV, turvauks, trepikoda lukus <br/></p>",3,2.0,59.3,C,9,8,2359.1905564924114
31,https://www.kv.ee/muua-logistiliselt-vaga-hea-asukohaga-kesklinna-ka-3430963.html,310000.0," Pallasti tn 50, Pae park, Lasnamäe, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu 13,5 m², kõrged laed, kinnine hoov, toad eraldi, mööbel, pakettaknad, parkett, lift, rõdu kinnine, parkimine tasuta, panipaik, seinakapp <br/><strong>Sanruum:</strong> dušš, wc ja vannituba eraldi, vann, pesumasin <br/><strong>Ümbrus:</strong> ümbruses korterelamud, linnas, teed heas seisukorras, naabrid kõrval, Tallinna laht meri 1,6 km <br/></p>",4,3.0,102.3,B,5,3,3030.3030303030305
32,https://www.kv.ee/kvaliteetselt-ja-taiuslikult-mobleeritud-suur-3toa-2989430.html,340100.0," Falgi tee 6 // Toompuiestee 18-5, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, palkmaja<br/><br/><strong>Lisainfo:</strong> kinnine hoov, vesi, tsentraalne vesi, garderoob, toad eraldi, kanalisatsioon, panipaik, ventilatsioon, sissepääs tänavalt, mööbel, katusekorter, tsentraalgaas, sileplekk-katus <br/><strong>Köök:</strong> elektripliit, avatud köök, köögimööbel <br/><strong>Sanruum:</strong> vann, wc ja vannituba eraldi, dušš, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> põrandaküte, põrandaküte, kombineeritud küte <br/><strong>Side ja turvalisus:</strong> Internet, trepikoda lukus <br/></p>",3,2.0,101.1,D,3,3,3363.996043521266
33,https://www.kv.ee/muua-suureparase-asukohaga-korter-kesklinna-uusare-3431941.html,210000.0," Toom-Kuninga 15, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> köök, parkett, parkimine tasuline, kanalisatsioon, tsentraalne vesi, parkimine tasuta, mööbel, maa-alune garaaž, garaaž, lift <br/><strong>Köök:</strong> elektripliit, avatud köök, külmik, köögimööbel <br/><strong>Sanruum:</strong> dušš <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, trepikoda lukus <br/><strong>Ümbrus:</strong> kattega teed <br/></p>",2,1.0909090909090908,52.5,B,8,2,4000.0
