,rooms,floors,area_outside,area,link,address,maakond
3960,3,4/4,,66 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/1146549,"Pikaliiva tn 7-35, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3961,3,6/16,,65.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-virbi-tn/9322391,"Virbi tn 7,Lasnamäe linnaosa, Tallinn, Harju maakond",harju
3962,2,1/4,,51.3 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-noorkuu-tn/8393460,"Noorkuu tn 4,Haabersti linnaosa, Tallinn, Harju maakond",harju
3963,3,3/4,,66 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/4416692,"Pikaliiva tn 7-24, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3964,2,3/4,,43 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/9284696,"Pikaliiva tn 7-29, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3965,2,3/4,,46 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/9263952,"Pikaliiva tn 7-23, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3966,2,3/4,,45.6 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7102016,"Pikaliiva tn 7-26, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3967,3,3/4,,64.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/6257431,"Pikaliiva tn 7-27, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3968,3,4/9,,65.6 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-oismae-tee/6459846,"Õismäe tee 64,Haabersti linnaosa, Tallinn, Harju maakond",harju
3969,3,2/4,,63.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/5264330,"Pikaliiva tn 7-10, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3970,3,2/4,,64.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/9372725,"Pikaliiva tn 7-11, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3971,3,2/4,,64.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/2394110,"Pikaliiva tn 7-16, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3972,3,2/4,,63.2 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/2957754,"Pikaliiva tn 7-17, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3973,3,3/4,,64.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/3510421,"Pikaliiva tn 7-22, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3974,3,1/4,,66 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/6012608,"Pikaliiva tn 7-3, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3975,2,2/4,,43.1 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/2482888,"Pikaliiva tn 7-9, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3976,3,2/4,,66 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7104953,"Pikaliiva tn 7-13, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3977,2,2/4,,43 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/8763608,"Pikaliiva tn 7-18, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3978,2,2/4,,46.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/4722825,"Pikaliiva tn 7-19, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3979,2,2/4,,46 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7022261,"Pikaliiva tn 7-14, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3980,4,3/4,,82.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/7178901,"Pikaliiva tn 5-21, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3981,3,2/4,,68 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/5073671,"Pikaliiva tn 5-12, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3982,2,2/4,,45.9 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/4643626,"Pikaliiva tn 5-13, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3983,3,3/4,,68 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/4883372,"Pikaliiva tn 5-22, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3984,3,3/4,,66.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/5001374,"Pikaliiva tn 5-26, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3985,3,2/4,,66.5 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/4323325,"Pikaliiva tn 5-16, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
3986,4,3/4,,82.8 m²,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-pikaliiva-tn/2326789,"Pikaliiva tn 5-25, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",harju
