,ID,Aadress,Kuupaev,Seisukord,Tube,Üldpind,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Tagatisraha,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Ehitusaasta,Küte,Sanitaar,Pliit,Magamistube,Vannitube,Rõdu,Omandiõigus,Turvasüsteem,Hind / m²,Katastritunnus,Energiamärgis,Materjal,Parkimine,Lisaruumid,Side,Kinnistu number,Katus,Suve kommunaalid,Talve kommunaalid,Köögi pind,tasuta parkimine,Krunt,maakond
10,6774281,",Uue-Antsla küla, Antsla vald, Võru maakond",2022-10-16,,2,48.8 m²,,,2,,12 000 €,,"38 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1978,,,,,,,,,245.90 €/m²,84301:004:0003,,,,,,,,,,,,,voru
11,7554365,"Männi 3,Viitina küla, Rõuge vald, Võru maakond",2022-10-16,,3,50.2 m²,,2,2,,12 000 €,,"38 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,,,,,,,,239.04 €/m²,69702:002:1500,,,,,,,,,,,,,voru
12,3710355,"Pika tee 5,Lusti küla, Antsla vald, Võru maakond",2022-10-16,valmis,1,43.6 m²,,3,3,mööbel,22 000 €,,"69 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1984,keskküte,"dušš,boiler",elektripliit,,,rõdu,korteriomand,,504.59 €/m²,14301:002:0064,energiamärgis määramata,kivimaja,,panipaik,,,,,,,,,voru
13,2652855,"Vabaduse tn 2,Võru linn, Võru maakond",2022-10-16,valmis,3,63.4 m²,,3,5,,52 900 €,,"166 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1976,,,,,,rõdu,kinnistu,,834.38 €/m²,91901:003:0700,E,kivimaja,,,,,,,,,,,voru
14,5299456,"Pilpajärve tn 4,Varstu alevik, Rõuge vald, Võru maakond",2022-10-16,,,26 m²,,,,,3 000 €,,"9 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,,,,,,,,115.38 €/m²,,,,,,,,,,,,,,voru
15,7858529,"Jüri tn 2,Võru linn, Võru maakond",2022-10-16,,3,58.6 m²,,1,2,eraldi sissepääs,39 500 €,,"124 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1966,"õhksoojuspump,ahjuküte","tsentraalne kanalisatsioon,dušš",,2,1,,korteriomand,,674.06 €/m²,,,puitmaja,tasuta parkimine,panipaik,"internet,digi-TV",,eterniit,,,,,,voru
16,7889894,"Jaama tn 2-1,Võru linn, Võru maakond",2022-10-16,vajab kapitaalremonti,2,39.2 m²,,1,2,,9 900 €,,"31 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1959,,,,,,,korteriomand,,252.55 €/m²,,energiamärgis määramata,puitmaja,,,,,,,,,,,voru
17,5471099,"Tallinna mnt 21,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,3,55.3 m²,,2,2,,39 900 €,,"125 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1959,,,puupliit,2,,,,trepikoda lukus,721.52 €/m²,,energiamärgis määramata,,,kelder,,,,,,,,,voru
18,1985519,"Olevi tn 23,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,3,63.3 m²,,5,5,,55 000 €,,"173 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1988,keskküte,"dušš,wc ja vannituba eraldi,pesumasin",,2,,,korteriomand,trepikoda lukus,868.88 €/m²,,E,paneelmaja,,,internet,,,,,,,,voru
19,6665122,"Põllu tee 3,Väimela alevik, Võru vald, Võru maakond",2022-10-16,vajab kapitaalremonti,2,48.3 m²,,3,3,,39 000 €,,"123 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1978,keskküte,"tsentraalne kanalisatsioon,wc ja vannituba eraldi,boiler,dušš",elektripliit,1,1,,korteriomand,,807.45 €/m²,91801:005:0029,energiamärgis määramata,paneelmaja,tasuta parkimine,kelder,"telefon,internet",,,,,9.60,,,voru
20,7232862,"Kooli tn 5,Võru linn, Võru maakond",2022-10-16,valmis,4,73.6 m²,4.00,4,5,"mööbel,külmik",77 900 €,,"245 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1984,keskküte,"dušš,wc ja vannituba eraldi,boiler,pesumasin",elektripliit,3,,rõdu,korteriomand,"naabrivalve,turvauks,trepikoda lukus",1 058.42 €/m²,91901:004:0370,,paneelmaja,,kelder,"kaabel-TV,internet",867641,,110.00,170.00,,,,voru
21,8768851,"Papli tee 1,Väimela alevik, Võru vald, Võru maakond",2022-10-16,,4,64 m²,,2,3,,39 000 €,,"123 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1964,,,,,,,,,609.38 €/m²,,energiamärgis määramata,kivimaja,,,,,,,,,,,voru
22,9113415,"Jaama tn,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,2,45.2 m²,,1,2,"mööbli võimalus,külmik",36 000 €,,"113 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,õhksoojuspump,"pesumasin,dušš",puupliit,1,,,korteriomand,,796.46 €/m²,,,puitmaja,,,,0,,,,,jah,,voru
23,7172134,"Koreli tn 24,Võru linn, Võru maakond",2022-10-16,valmis,4,76.4 m²,4.00,4,5,,73 500 €,,"231 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1986,keskküte,"dušš,vann,wc ja vannituba eraldi",elektripliit,3,,rõdu,korteriomand,"trepikoda lukus,turvauks",962.04 €/m²,91901:011:1240,energiamärgis määramata,paneelmaja,,,internet,,,,,,jah,2422 m²,voru
